,author,description,genre,title
0,Sophie Kinsella,"After being together for ten years, Sylvie and Dan have all the trimmings of a happy life and marriage; they have a comfortable home, fulfilling jobs, beautiful twin girls, and communicate so seamlessly, they finish each other's sentences. However, a trip to the doctor projects they will live another 68 years together and panic sets in. They never expected ""until death do us part"" to mean seven decades.In the name of marriage survival, they quickly concoct a plan to keep their relationship fresh and exciting: they will create little surprises for each other so that their (extended) years together will never become boring. But in their pursuit to execute Project Surprise Me, mishaps arise and secrets are uncovered that start to threaten the very foundation of their unshakable bond. When a scandal from the past is revealed that question some important untold truths, they begin to wonder if they ever really knew each other after all.",Womens Fiction,      Surprise Me
1,S. Jae-Jones,"Six months after the end of Wintersong, Liesl is working toward furthering both her brother’s and her own musical careers. Although she is determined to look forward and not behind, life in the world above is not as easy as Liesl had hoped. Her younger brother Josef is cold, distant, and withdrawn, while Liesl can’t forget the austere young man she left beneath the earth, and the music he inspired in her. When troubling signs arise that the barrier between worlds is crumbling, Liesl must return to the Underground to unravel the mystery of life, death, and the Goblin King—who he was, who he is, and who he will be. What will it take to break the old laws once and for all? What is the true meaning of sacrifice when the fate of the world—or the ones Liesl loves—is in her hands?",Fantasy,"      Shadowsong
      
          (Wintersong #2)"
2,Ashley Poston,"Seventeen-year-old Ana is a scoundrel by nurture and an outlaw by nature. Found as a child drifting through space with a sentient android called D09, Ana was saved by a fearsome space captain and the grizzled crew she now calls family. But D09—one of the last remaining illegal Metals—has been glitching, and Ana will stop at nothing to find a way to fix him.Ana’s desperate effort to save D09 leads her on a quest to steal the coordinates to a lost ship that could offer all the answers. But at the last moment, a spoiled Ironblood boy beats Ana to her prize. He has his own reasons for taking the coordinates, and he doesn’t care what he’ll sacrifice to keep them.When everything goes wrong, she and the Ironblood end up as fugitives on the run. Now their entire kingdom is after them—and the coordinates—and not everyone wants them captured alive.What they find in a lost corner of the universe will change all their lives—and unearth dangerous secrets. But when a darkness from Ana’s past returns, she must face an impossible choice: does she protect a kingdom that wants her dead or save the Metal boy she loves?",Young Adult,"      Heart of Iron
      
          (Heart of Iron #1)"
3,Penelope Ward,"From New York Times bestselling author Penelope Ward, comes a new, sexy standalone novel.Growing up, the three of us were friends.He was the nerd.I was the playboy.She was the beauty.Deep down, I only ever wanted her. I kept it inside because Rory and I made a pact that our friend, Amber, was off-limits.He lied.I went off to college, and he got the girl.Amber never knew how I felt.They were together for years—before he broke her heart.Through it all and across the miles, she and I casually stayed in touch.When my job sent me to Boston for a three-month contract position, Amber let me stay in her spare room.Still reeling from her breakup, she’d sworn off men.One night, I opened her computer to find the shock of my life. She’d hesitantly contacted a male escort company. Afraid to date and get her heart broken again, she was looking for sex with no strings.Every emotion imaginable ran through me: protectiveness, jealousy—curiosity.Amber had chosen Gentleman Number Nine and sent him a message.She opened up to him, confessing, among other things, her physical attraction to her friend—me. But she considered me off-limits—and she thought I was a manwhore. (Ironic, considering the circumstances.)Eventually, she set up a date to meet Gentleman Nine at a hotel. When she showed up several nights later to meet him, she was stunned to see me standing there—with an offer I hoped she wouldn’t refuse.",Romance,      Gentleman Nine
4,Tricia Levenseller,"Alosa's mission is finally complete. Not only has she recovered all three pieces of the map to a legendary hidden treasure, but the pirates who originally took her captive are now prisoners on her ship. Still unfairly attractive and unexpectedly loyal, first mate Riden is a constant distraction, but now he's under her orders. And she takes great comfort in knowing that the villainous Vordan will soon be facing her father's justice.When Vordan exposes a secret her father has kept for years, Alosa and her crew find themselves in a deadly race with the feared Pirate King. Despite the danger, Alosa knows they will recover the treasure first . . . after all, she is the daughter of the Siren Queen.",Fantasy,"      Daughter of the Siren Queen
      
          (Daughter of the Pirate King #2)"
5,Chanel Cleeton,"After the death of her beloved grandmother, a Cuban-American woman travels to Havana, where she discovers the roots of her identity--and unearths a family secret hidden since the revolution...Havana, 1958. The daughter of a sugar baron, nineteen-year-old Elisa Perez is part of Cuba's high society, where she is largely sheltered from the country's growing political unrest--until she embarks on a clandestine affair with a passionate revolutionary...Miami, 2017. Freelance writer Marisol Ferrera grew up hearing romantic stories of Cuba from her late grandmother Elisa, who was forced to flee with her family during the revolution. Elisa's last wish was for Marisol to scatter her ashes in the country of her birth. Arriving in Havana, Marisol comes face-to-face with the contrast of Cuba's tropical, timeless beauty and its perilous political climate. When more family history comes to light and Marisol finds herself attracted to a man with secrets of his own, she'll need the lessons of her grandmother's past to help her understand the true meaning of courage.",Historical,      Next Year in Havana
6,Lisa Kleypas,"A woman who defies her timeDr. Garrett Gibson, the only female physician in England, is as daring and independent as any man—why not take her pleasures like one? Yet she has never been tempted to embark on an affair, until now. Ethan Ransom, a former detective for Scotland Yard, is as gallant as he is secretive, a rumored assassin whose true loyalties are a mystery. For one exhilarating night, they give in to their potent attraction before becoming strangers again.A man who breaks every ruleAs a Ravenel by-blow spurned by his father, Ethan has little interest in polite society, yet he is captivated by the bold and beautiful Garrett. Despite their vow to resist each other after that sublime night, she is soon drawn into his most dangerous assignment yet. When the mission goes wrong, it will take all of Garrett's skill and courage to save him. As they face the menace of a treacherous government plot, Ethan is willing to take any risk for the love of the most extraordinary woman he's ever known.",Romance,"      Hello Stranger
      
          (The Ravenels #4)"
7,Corinne Michaels,"
From New York Times bestselling author, Corinne Michaels, comes a new heartwarming standalone romance.
I’m getting really good at cutting my losses. First, the husband. Divorcing him was the best decision I ever made. But between single-parenting and job-hunting, I can’t catch my breath. When a celebrity blogging position falls into my lap, I’m determined to succeed. That is, until I get my first assignment and actually see Noah Frazier for the first time . . . practically naked and dripping wet. My heart races and I forget how to form complete sentences. His chiseled abs, irresistible smirk, and crystal blue eyes are too perfect to be real. So, what do I do? Get drunk and humiliate myself, of course. I’m ready to forget the awkward night, yet Noah has no intention of allowing me to move on. Instead, he arranges for me to write a feature on him, ensuring a lot more time together. One embarrassing moment after another, one kiss after another, and before I can stop myself, I realize—I’m falling in love with him. But when the unthinkable happens, can I even blame him for cutting his losses? What I wouldn’t give for just one last time . . .",Romance,      One Last Time
8,Gloria Chao,"An incisive, laugh-out-loud contemporary debut about a Taiwanese-American teen whose parents want her to be a doctor and marry a Taiwanese Ivy Leaguer despite her squeamishness with germs and crush on a Japanese classmate.At seventeen, Mei should be in high school, but skipping fourth grade was part of her parents' master plan. Now a freshman at MIT, she is on track to fulfill the rest of this predetermined future: become a doctor, marry a preapproved Taiwanese Ivy Leaguer, produce a litter of babies.With everything her parents have sacrificed to make her cushy life a reality, Mei can't bring herself to tell them the truth--that she (1) hates germs, (2) falls asleep in biology lectures, and (3) has a crush on her classmate Darren Takahashi, who is decidedly not Taiwanese.But when Mei reconnects with her brother, Xing, who is estranged from the family for dating the wrong woman, Mei starts to wonder if all the secrets are truly worth it. Can she find a way to be herself, whoever that is, before her web of lies unravels?",Young Adult,      American Panda
9,Kami Garcia,"From #1 New York Times–bestselling author Kami Garcia comes a red-hot romance that will break your heart and put it back together again.Her heart has to break before it can open.When star soccer player Peyton Rios receives an offer from her first-choice college, senior year starts off exactly as planned. But when Peyton uncovers her boyfriend’s dark secret, she confronts him—and finds herself falling down a flight of stairs. Peyton’s knee—and maybe her dream of going pro—is shattered. Everyone is talking: Was she pushed, or did she fall? Peyton knows the truth, even if no one believes her.He has to let someone in before it’s too late.With her future on the line, Peyton goes to stay with her uncle in a small Tennessee town to focus on her recovery. Dating is the last thing on her mind—until she meets sweet, sexy Owen Law.But Peyton doesn’t trust her heart, especially when she senses that Owen is hiding something. When their secrets are finally exposed, Peyton has to decide if love is worth fighting for.",Contemporary,      Broken Beautiful Hearts
