,author,description,genre,title
0,Ashley Poston,"Seventeen-year-old Ana is a scoundrel by nurture and an outlaw by nature. Found as a child drifting through space with a sentient android called D09, Ana was saved by a fearsome space captain and the grizzled crew she now calls family. But D09—one of the last remaining illegal Metals—has been glitching, and Ana will stop at nothing to find a way to fix him.Ana’s desperate effort to save D09 leads her on a quest to steal the coordinates to a lost ship that could offer all the answers. But at the last moment, a spoiled Ironblood boy beats Ana to her prize. He has his own reasons for taking the coordinates, and he doesn’t care what he’ll sacrifice to keep them.When everything goes wrong, she and the Ironblood end up as fugitives on the run. Now their entire kingdom is after them—and the coordinates—and not everyone wants them captured alive.What they find in a lost corner of the universe will change all their lives—and unearth dangerous secrets. But when a darkness from Ana’s past returns, she must face an impossible choice: does she protect a kingdom that wants her dead or save the Metal boy she loves?",Young Adult,"      Heart of Iron
      
          (Heart of Iron #1)"
1,Rachel Caine,"Petty criminal Zara Cole has a painful past that’s made her stronger than most, which is why she chose life in New Detroit instead of moving with her family to Mars. In her eyes, living inside a dome isn’t much better than a prison cell.Still, when Zara commits a crime that has her running scared, jail might be exactly where she’s headed. Instead Zara is recruited into the Honors, an elite team of humans selected by the Leviathan—a race of sentient alien ships—to explore the outer reaches of the universe as their passengers.Zara seizes the chance to flee Earth’s dangers, but when she meets Nadim, the alien ship she’s assigned, Zara starts to feel at home for the first time. But nothing could have prepared her for the dark, ominous truths that lurk behind the alluring glitter of starlight.",Young Adult,"      Honor Among Thieves
      
          (The Honors #1)"
2,Gwendolyn Clare,"Can she write a world gone wrong?A certain pen, a certain book, and a certain person can craft entirely new worlds through a branch of science called scriptology. Elsa comes from one such world that was written into creation, where her mother―a noted scriptologist―constantly alters and expands their reality.But when her home is attacked and her mother kidnapped, Elsa is forced to cross into the real world and use her own scriptology gifts to find her. In an alternative Victorian Italy, Elsa finds a secret society of young scientists with a gift for mechanics, alchemy, or scriptology―and meets Leo, a gorgeous mechanist with a smart mouth and tragic past. She recruits the help of these fellow geniuses just as an assassin arrives on their doorstep.In this thrilling debut, worlds collide as Elsa unveils a deep political conspiracy seeking to unlock the most dangerous weapon ever created―and only she can stop it.",Fantasy,"      Ink, Iron, and Glass
      
          (Ink, Iron, and Glass #1)"
3,Tom Sweterlitsch,"
Inception meets True Detective in this science-fiction thriller of spellbinding tension and staggering scope. The Gone World follows a special agent into a savage murder case with grave implications for the fate of mankind. 
Shannon Moss is part of a clandestine division within the Naval Criminal Investigative Service. In Western Pennsylvania, 1997, she is assigned to solve the murder of a Navy SEAL's family--and to locate his teenage daughter, who has disappeared. Though she can't share the information with conventional law enforcement, Moss discovers that the missing SEAL was an astronaut aboard the spaceship U.S.S. Libra--a ship assumed lost to the darkest currents of Deep Time. Moss knows first-hand the mental trauma of time-travel and believes the SEAL's experience with the future has triggered this violence. Determined to find the missing girl and driven by a troubling connection from her own past, Moss travels ahead in time to explore possible versions of the future, seeking evidence or insight that will crack the present-day case. To her horror, the future reveals that it's not only the fate of a family that hinges on her work, for what she witnesses rising over time's horizon and hurtling toward the present is the Terminus: the terrifying and cataclysmic end of humanity itself.Luminous and unsettling, The Gone World bristles with world-shattering ideas yet remains at its heart an intensely human story.",Science Fiction,      The Gone World
4,Courtney Alameda,"Set against a future of marauding space scavengers and deadly aliens who kill with sound, here is a frightening, fast-paced YA adventure from the author of the acclaimed horror novel, Shutter.Tuck has been in stasis on the USS John Muir, a ship that houses Earth’s most valued artifacts—its natural resources. Parks and mountains are preserved in space. Laura belongs to a shipraiding family, who are funded by a group used to getting what they want. And they want what’s on the Muir. Tuck and Laura didn’t bargain on working together, or battling mutant aliens who use sound to kill. But their plan is the only hope for their crews, their families, and themselves. In space, nobody can hear you scream . . . but on the John Muir, the screams are the last thing you'll hear.",Young Adult,      Pitch Dark
5,Shaun David Hutchinson,"Sixteen-year-old Elena Mendoza is the product of a virgin birth.This can be scientifically explained (it’s called parthenogenesis), but what can’t be explained is how Elena is able to heal Freddie, the girl she’s had a crush on for years, from a gunshot wound in a Starbucks parking lot. Or why the boy who shot Freddie, David Combs, disappeared from the same parking lot minutes later after getting sucked up into the clouds. What also can’t be explained are the talking girl on the front of a tampon box, or the reasons that David Combs shot Freddie in the first place.As more unbelievable things occur, and Elena continues to perform miracles, the only remaining explanation is the least logical of all—that the world is actually coming to an end, and Elena is possibly the only one who can do something about it.",Young Adult,      The Apocalypse of Elena Mendoza
6,Paolo Bacigalupi,"Khaim, The Blue City, is the last remaining city in a crumbled empire that overly relied upon magic until it became toxic. It is run by a tyrant known as The Jolly Mayor and his devious right hand, the last archmage in the world. Together they try to collect all the magic for themselves so they can control the citizens of the city. But when their decadence reaches new heights and begins to destroy the environment, the people stage an uprising to stop them.",Fantasy,      The Tangled Lands
7,Rhoda Belleza,"EmpressWith a revolution brewing, Rhee is faced with a choice: make a deal with her enemy, Nero, or denounce him and risk losing her crown.FugitiveFramed assassin Alyosha has one goal in mind: kill Nero. But to get his revenge, Aly may have to travel back to the very place he thought he’d left forever—home.PrincessKara knows that a single piece of technology located on the uninhabitable planet Wraeta may be the key to remembering—and erasing—the princess she once was.MadmanVillainous media star Nero is out for blood, and he’ll go to any means necessary to control the galaxy. Vicious politics and high-stakes action culminate in an epic showdown that will determine the fate of the universe.",Young Adult,"      Blood of a Thousand Stars
      
          (Empress of a Thousand Skies #2)"
8,Adrianne Finlay,"Jack is a walking fossil. The only human among a sea of clones. It’s been hundreds of years since humanity died off in the slow plague, leaving the clones behind to carry on human existence. Over time they’ve perfected their genes, moving further away from the imperfections of humanity. But if they really are perfect, why did they create Jack?While Jack longs for acceptance, Althea-310 struggles with the feeling that she’s different from her sisters. Her fascination with Jack doesn’t help. As Althea and Jack’s connection grows stronger, so does the threat to their lives. What will happen if they do the unthinkable and fall in love?",Young Adult,      Your One & Only
9,Sue Burke,"In this character driven novel of first contact by debut author Sue Burke, human survival hinges on an bizarre alliance.Only mutual communication can forge an alliance with the planet's sentient species and prove that mammals are more than tools.Forced to land on a planet they aren't prepared for, human colonists rely on their limited resources to survive. The planet provides a lush but inexplicable landscape--trees offer edible, addictive fruit one day and poison the next, while the ruins of an alien race are found entwined in the roots of a strange plant. Conflicts between generations arise as they struggle to understand one another and grapple with an unknowable alien intellect.",Science Fiction,      Semiosis
10,Alisa Kwitney,"When Lizzie Lavenza enrolled at Ingold as its first female medical student, she knew she wouldn't have an easy time. From class demands to being an outsider among her male cohorts, she'll have to go above and beyond to prove herself. So when she stumbles across what appears to be a faulty Bio-mechanical--one of the mechanized cadavers created to service the school--she jumps at the chance to fix it and get ahead in the program.Only this Bio-mechanical isn't like the others. Where they are usually empty-minded and perfectly obedient, this one seems to have thoughts, feelings...and self-awareness.Soon Lizzie realizes that it is Victor Frankenstein--a former student who died under mysterious circumstances. Victor, it seems, still has a spark of human intelligence inside him, along with memories of things he discovered before his untimely death...and a suspicion that he was murdered to keep that information from getting out.Suddenly Lizzie finds herself intertwined in dark secrets and sabotage that put her life, and the lives of Victor and their friends, in danger. But Lizzie's determined to succeed--even if that means fighting an enemy who threatens the entire British Empire.",Young Adult,      Cadaver & Queen
11,Leah Thomas,"When the Vasquez siblings’ father left, it seemed nothing could remedy the absence in their lives . . . until a shimmering figure named Luz appeared in the canyon behind their house.Luz filled the void. He shot hoops with seventeen-year-old Hank’s hands. He showed fourteen-year-old Ana cinematic beauty behind her eyelids. He spoke kindly to eight-year-old Milo. But then Luz left, too, and he took something from each of them. As a new school year begins, Ana, Hank, and Milo must carry on as if an alien presence never altered them. But how can they ever feel close to other people again when Luz changed everything about how they see the world and themselves? In an imaginative and heartfelt exploration of human—and non-human—nature, Leah Thomas champions the unyielding bonds between family and true friends.",Young Adult,      When Light Left Us
12,David Pedreira,"A realistic and chilling vision of life on the Moon, where dust kills as easily as the vacuum of space…but murder is even quicker—a fast-paced, cinematic science fiction thriller, this debut novel combines the inventiveness of The Martian, the intrigue of The Expanse, and the thrills of Red Rising.The Moon smells like gunpowder. Every lunar walker since Apollo 11 has noticed it: a burnt-metal scent that reminds them of war. Caden Dechert, the chief of the U.S. mining operation on the edge of the Sea of Serenity, thinks the smell is just a trick of the mind—a reminder of his harrowing days as a Marine in the war-torn Middle East back on Earth.It’s 2072, and lunar helium-3 mining is powering the fusion reactors that are bringing Earth back from environmental disaster. But competing for the richest prize in the history of the world has destroyed the oldest rule in space: Safety for All. When a bomb kills one of Dechert’s diggers on Mare Serenitatis, the haunted veteran goes on the hunt to expose the culprit before more blood is spilled.But as Dechert races to solve the first murder in the history of the Moon, he gets caught in the crosshairs of two global powers spoiling for a fight. Reluctant to be the match that lights this powder-keg, Dechert knows the lives of him and his crew are meaningless to the politicians. Even worse, he knows the killer is still out there, hunting.In his desperate attempts to save his crew and prevent the catastrophe he sees coming, the former Marine uncovers a dangerous conspiracy that, with one spark can ignite a full lunar war, wipe out his team . . . and perhaps plunge the Earth back into darkness.",Science Fiction,      Gunpowder Moon
13,S.J. Morden,"ONE WAY opens at the dawn of a new era – one in which we’re ready to colonise Mars. But the contract to build the first ever Martian base has been won by the lowest bidder, so they need to cut a lot of corners. The first thing to go is the automatic construction… the next thing they’ll have to deal with is the eight astronauts they’ll sent up to build it, when there aren’t supposed to be any at all.Frank – father, architect, murderer – is recruited for the mission with the promise of a better life, along with seven of his most notorious fellow inmates. As his crew sets to work, the accidents mount up, and Frank begins to suspect they might not be accidents at all. As the list of suspects grows shorter, it’s up to Frank to uncover the terrible truth before it’s too late.",Science Fiction,      One Way
14,Gareth L. Powell,"The warship Trouble Dog was built and bred for calculating violence, yet following a brutal war, she finds herself disgusted by conflict and her role in a possible war crime. Seeking to atone, she joins the House of Reclamation, an organisation dedicated to rescuing ships in distress.But, stripped of her weaponry and emptied of her officers, she struggles in the new role she’s chosen for herself. When a ship goes missing in a disputed system, Trouble Dog and her new crew of misfits and loners, captained by Sal Konstanz, an ex-captain of a medical frigate who once fought against Trouble Dog, are assigned to investigate and save whoever they can.Meanwhile, light years away, intelligence officer Ashton Childe is tasked with locating and saving the poet, Ona Sudak, who was aboard the missing ship, whatever the cost. In order to do this, he must reach out to the only person he considers a friend, even if he’s not sure she can be trusted. What Childe doesn’t know is that Sudak is not the person she appears to be.Quickly, what appears to be a straightforward rescue mission turns into something far more dangerous, as Trouble Dog, Konstanz and Childe, find themselves at the centre of a potential new conflict that could engulf not just mankind but the entire galaxy.If she is to survive and save her crew, Trouble Dog is going to have to remember how to fight.",Science Fiction,"      Embers of War
      
          (Embers of War #1)"
15,Aprilynne Pike,"Danica planned to use beauty, blackmail, and a glittering drug to control her own fate. Her escape from the twisted world of the Palace of Versailles was perfectly orchestrated and paid for. Or so she thought. Betrayed by the man who had promised her freedom, Dani is now married to the murderous King. It's a terrifying position to be in...and yet it's oddly intoxicating. Power may be an even stronger drug than Glitter--a drug Dani can't resist, in the form of secrets, manipulation, and sabotage.In her new position at the head of the court, Dani must ask herself who she really is. Can she use her newfound power to secure her real love, Saber's freedom and a chance at a life together outside the palace? Or is being Queen too addictive to give up?",Young Adult,"      Shatter
      
          (Glitter #2)"
