,author,description,genre,title
0,Sayantani DasGupta,"MEET KIRANMALA: INTERDIMENSIONAL DEMONSLAYER(But she doesn’t know it yet.)On the morning of her twelfth birthday, Kiranmala is just a regular sixth grader living in Parsippany, New Jersey… until her parents mysteriously vanish later that day and a rakkhosh demon slams through her kitchen, determined to eat her alive. Turns out there might be some truth to her parents’ fantastical stories—like how Kiranmala is a real Indian princess—and a wealth of secrets about her origin they've kept hidden.To complicate matters, two crushworthy Indian princes ring her doorbell, insisting they’re here to rescue her. Suddenly, Kiran is swept into another dimension full of magic, winged horses, moving maps, and annoying, talking birds. There she must solve riddles and slay demons all while avoiding the Serpent King of the underworld (who may or may not want to kill her) and the rakkhosh queen (who definitely does) in order to find her parents and basically save New Jersey, her entire world, and everything beyond it…",Fantasy,"      The Serpent's Secret
      
          (Kiranmala and the Kingdom Beyond #1)"
1,Natalie Lloyd,"When the Problim children’s ramshackle bungalow in the Swampy Woods goes kaboom, the seven siblings and their pet pig have no choice but to move into their Grandpa’s abandoned old mansion in Lost Cove. No problem! For the Problim children, every problem is a gift.Wendell and Thea—twins born two minutes apart on a Wednesday and a Thursday—see the move as a chance to make new friends in time for their birthday cake smash. But the neighbors find the Problims’ return problematic—what with Sal’s foggy garden full of Wrangling Ivy, toddler Toot’s 365 stanktastic fart varieties, and Mona’s human catapult.Truth be told, rumors are flying about the Problims! Rumors of a bitter feud, a treasure, and a certain kind of magic lingering in the halls of #7 Main Street. And the neighbors will do anything to get their hands on those secrets—including sending the Problim children to seven different homes on seven different continents!",Childrens,"      The Problim Children
      
          (The Problim Children #1)"
2,Brian Selznick,"Brian Selznick. Honey. We’ve got to talk.Now look, it was all well and good when you started getting a little crazy and shaking up notions of what an “illustrated book” actually means. Winning the Caldecott for a novel? Never been done before. And the fact that Hugo Cabret and its companion novels Wonderstruck and  The Marvels push every conceivable envelope, in terms of what a visual novel can be, is not just noteworthy but historic. But now you’re getting all slick on us. It wasn’t enough to conquer the middle grade illustrated novel, eh? Now you’re just fudging the lines between early chapter books and picture books in ways I’ve honestly never seen before. Baby Monkey, Private Eye is, as anyone looking at the cover could tell you, freakishly adorable. And funny. But it may also be the most subversive little number to hit our shelves in a very long time. Got a crime? Then who you gonna call? Forget Sam Spade and his ilk. The true brains in this town belong to Baby Monkey. He’s a baby, he’s a monkey, and he’s a crime fighting genius. With every client that crosses the threshold of his office, he has a routine in place. Examine the evidence. Take notes. Have a snack. Put on some pants (that particular part of the job is a bit on the trying side). And solve that crime! Baby monkey always gets his man (slash zebra/lion/snake/mouse). But when his final case involves a missing baby, that’s when things start getting personal. Have a seat. I need to tell you a story. About three years ago I got wrapped up in a wave of hubris that almost knocked me flat. I had been suggested by an academic friend to contribute a chapter to a Routledge resource on picture books. Please bear in mind that I have almost no experience with academia in any form. Blithely I agreed and was subsequently floored when it became eminently clear that I was in over my head. My assigned chapter was “Picturebooks and Illustrated Books”, a distinction that I wasn’t overly familiar with. It all worked out in the end (thanks to the intervention of a friend who knew this territory better than I) and I got a crash course in the difference between an “illustrated book” and a “picture book”. Would that Baby Monkey, Private Eye had been available when I was determining these distinctions. As it turns out, there is a very good reason that press for this book calls it “a winning new format”. I'll break it down for you.Let us first pick up our copy of the book and just give it a good going over. As you can see, it’s your standard 5-1/4 X 7-3/4 inch sized novel. 192 pages in length. Seems pretty standard stuff. And yet from the moment you open it up it’s pretty clear that the bulk of the book is going to be art rather than text. Though it contains five chapters, a Key, an Index, and a Bibliography (more on that later) the actual book is perfect for very young readers. It is also perfect (and I cannot stress this enough) for reading ALOUD to large groups of very young readers. This realization had me pondering what it would have looked like if Selznick and Serlin had kept the page count but pulled a Bolivar and made the pages picture book-sized. Certainly that would have taken much longer to create (lotta cross-hatching would ensue) but in an era when the walls between formats is a lot more fluid than in the past (thanks in large part to the aforementioned Hugo Cabret) it certainly could have been done. And yet, the creators clearly wanted this to be an early chapter book. Selznick actually got his start back in the day with  The Houdini Box, which was early chapter fare of a different sort. And reading this book with my 3-year-old and 6-year-old (who both loved it equally) this book may indeed be one of those pan-age level titles that transcend audience. Doggone it.Why do both of my small children love this book so much? Because it’s a gut-buster, frankly. Funny? Sister, you don’t know the half of it. The very opening of the book sets the stage for hilarity. You open it up and are accosted by an oversized call to “WAIT!” It then challenges you with the question “Who is Baby Monkey?” The answer? “He is a baby.” Page turn. “He is a monkey”. Page turn. “He has a job to do.” That’s when you see his detective agency. Now as any good children’s book author knows, when writing a funny book for children, ideally you should direct some humor at the kids and some at the adult readers. Go too far in the children’s direction and you get  Walter the Farting Dog. Go too far in the adult direction and you get some crappy Dreamworks movie that’s more of a prolonged wink than a film. In this, Serlin and Selznick find the perfect sweet spot. For the adults there’s a kind of seek-and-find element to Baby Monkey’s ever changing office. For kids, there’s the fact that baby monkey cannot easily put on his own pants. Pants are, by their nature, hilarious. I think it has something to do with the word itself. Pants. And while most jokes work best when you’re operating under the Rule of Threes, the choice to give this book five chapters (which involves four pant-struggling sequences) is bold. Surely there was a temptation somewhere in the process to limit the chapters to three. I respect the fact that it’s an unwieldy five instead. Gives the jokes more time to percolate.Monkeys should, by all rights, be classic picture book staples. With that in mind, I ask you this: Who is the most famous monkey in the whole of children’s literature. If you said  Curious George I’m gonna whip out the old “Curious George is actually an ape” line and we’ll have at it. But beyond George there are shockingly few famous kidlit monkeys to choose between. This is particularly strange because monkeys should potentially fill all the requirements of children’s book illustration. They are small, like human children, and cute, like human children. They are, in fact, the perfect stand-ins. Selznick, for his part, has gone and gotten cute on us. His baby monkey is remarkably tiny. Do you remember that old Disney-drawn explanation of “The Cute Character” where the ratio of the head to body, ears to head, legs to feet, etc. are explained? Well, Selznick clearly knows his stuff. Baby monkey’s proportions are carefully calibrated for maximum cuteness, as are his facial expressions, and body language. This is part of the reason the book works as well as it does with the youngest of readers. Who wouldn’t love that guy?The art is indicative of Selznick’s trademark graphite, with one notable difference. Color! That’s right, baby, there’s at least one singular jolt of color making itself known in each chapter. I had just assumed that the red of the missing jewels / pizza / clown nose / etc. was the same as the red on the cover of the book, but this does not appear to be the case. While the red of the letters on the cover are deep, the jewels / pizza / nose have this extraordinary tint to them. Maybe just a hint of orange? I couldn’t say, but whatever it is it just pops off the page. I think longingly of what this book could have been had the author written it in a picture book format. Then I get ahold of myself again and appreciate it for what it is.I mentioned earlier that in writing a book for children that’s funny, an author has to walk a fine line between humor for kid readers and humor for adult readers. In the case of Baby Monkey, though, this applies to far more than the jokes. In his art, Selznick takes care to hide in plain site multiple references to whatever case it is that Baby Monkey is about to solve. His office before the opera singer comes in is outfitted with portraits of Maria Callas and Marian Anderson. A bust of Mozart overseas Baby Monkey’s note taking. There’s even a reference to that old Marx Brother classic (my personal favorite) A Night at the Opera. With each case the décor changes. Don’t think for a moment that I’m good at spotting all these references, though. While I got the poster for the 1980 production of Barnum and recognized the image from A Trip to the Moon (a bit of an homage to Hugo Cabret in its way) I had to rely heavily on Selznick’s “Key to Baby Monkey’s Office” at the back of the book. There you will find all the hidden references laid out before you. It’s really nice, actually. Few artists take the time to let their readers in on their jokes. But the book’s most subtle jokes for adults are also the most superfluous (and, consequently, the most charming). After the aforementioned “Key” you’ll find an Index and Bibliography that honestly have no reason at all to be there. The Index may be worth it entirely for the entry on “Wainscoting” (Warning: it’s intense). The Bibliography, however, is a carefully crafted labor of lovable nonsense. It is filled from guggle to zatch with nonsense books. From a 1997 edition of Animals Who Look Like They Have No Noses (2nd edition, if we’re going to be specific) to Moshe Moshi’s Famous Babies I Have Known the faux titles, authors, and presses abound. Honestly, just read it for the authors’ names. Barbara Bathtowel. Luis Gergle. Herbert Hobbypocket. I could go on all day.I wonder if there’s a moment where a children’s book creator peaks and then crosses over to a whole new level. Sendak sort of did it, the consequence being that he traded his mortality for some truly obtuse works for kids. Selznick is traveling on a Sendakian course, but along the way he’s never lost his penchant for kid-friendly fare. Credit collaborator David Serlin (who’s getting the short end of the stick in this review) or credit is unequivocal love for the audience (a weapon Sendak never had in his own back pocket). For all its seeming simplicity, Baby Monkey packs a wallop. It challenges what an early chapter book can be, it’s the funniest fare you might read this year, it’s beautiful to look at, and there’s plenty to please small children and grown adults alike. Taken as a whole, the Serlin/Selznick duo is a force to be reckoned with. Will we see more Baby Monkey in the future? I cannot know the answer. All I can hope is that these guys pair up frequently. I like where all this is headed.For ages 3 and up.",Childrens,"      Baby Monkey, Private Eye"
3,Kamilla Benko,"Claire Martinson still worries about her older sister Sophie, who battled a mysterious illness last year. But things are back to normal as they move into Windermere Manor... until the sisters climb a strange ladder in a fireplace and enter the magical land of Arden. There, they find a world in turmoil. The four guilds of magic no longer trust each other. The beloved unicorns have gone, and terrible wraiths roam freely. Scared, the girls return home. But when Sophie vanishes, it will take all of Claire's courage to climb back up the ladder, find her sister, and uncover the unicorns' greatest secret.",Fantasy,"      The Unicorn Quest
      
          (The Unicorn Quest #1)"
4,Tracy Barrett,"Free-spirited Marabel must defy expectations to rescue her brother--and their kingdom.In Magikos, life is dictated by the Book of Fate's ancient predictions, including the birth of a royal Chosen One who will save the realm. Princess Marabel has grown up in the shadow of her twin brother, Marco, who everyone assumes is the true Chosen One. While Marco is adored and given every opportunity, Marabel is overlooked and has to practice her sword fighting in secret.But on the night of their thirteenth birthday, Marco is kidnapped by an evil queen, and Marabel runs to his rescue. Outside the castle walls for the first time, accompanied by her best friend and a very smug unicorn, Marabel embarks on a daring mission that brings her face-to-face with fairies, trolls, giants--and the possibility that all is not as it seems in Magikos.",Fantasy,"      Marabel and the Book of Fate
      
          (Marabel of Magikos #1)"
5,Catherine Gilbert Murdock,"Boy has always been relegated to the outskirts of his small village. With a large hump on his back, a mysterious past, and a tendency to talk to animals, he is often mocked and abused by the other kids in his town. Until the arrival of a shadowy pilgrim named Secondus. Impressed with Boy’s climbing and jumping abilities, Secondus engages Boy as his servant, pulling him into an expedition across Europe to gather the seven precious relics of Saint Peter. Boy quickly realizes this journey is not an innocent one. They are stealing the relics, and gaining dangerous enemies in the process. But Boy is determined to see this pilgrimage through until the end—for what if St. Peter can make Boy’s hump go away?This compelling, action-packed tale is full of bravery and daring, stars a terrific cast of secondary characters, and features an unlikely multigenerational friendship at its heart. Memorable and haunting, Catherine Gilbert Murdock’s epic medieval adventure is just right for readers of Sara Pennypacker’s Pax, Adam Gidwitz’s The Inquisitor’s Tale, and Pam Muñoz Ryan’s Echo.Features a map and black-and-white art throughout.",Historical,      The Book of Boy
6,Jennifer Roy,"At the start of 1991, eleven-year-old Ali Fadhil was consumed by his love for soccer, video games, and American television shows. Then, on January 17, Iraq’s dictator Saddam Hussein went to war with thirty-four nations lead by the United States.Over the next forty-three days, Ali and his family survived bombings, food shortages, and constant fear. Ali and his brothers played soccer on the abandoned streets of their Basra neighborhood, wondering when or if their medic father would return from the war front. Cinematic, accessible, and timely, this is the story of one ordinary kid’s view of life during war.",Childrens,      Playing Atari with Saddam Hussein
7,Lisa McMann,"Ten years after Alex and Aaron Stowe brought peace to Quill and Artimé, their younger twin sisters journey beyond Artimé in the second novel in the New York Times bestselling sequel series to The Unwanteds, which Kirkus Reviews called “The Hunger Games meets Harry Potter.”The Artiméans have suffered some devastating blows.After years of peace, the recent daring adventure of twins Thisbe and Fifer Stowe have brought about dire consequences. Thisbe has been captured, Fifer is injured, and Sky is lost at sea. The twins’ older brother Alex, head mage of Artimé, is paralyzed with fear of losing anyone else he loves. Fifer must convince him to finally trust her to help in the battle ahead now that their true enemy has been revealed.Meanwhile Thisbe is trapped underground in the catacombs, where the ancient dragon rulers are buried. Along with fellow prisoners, Thisbe’s job is to transport dragon bones from her crypt to the extracting room, where others extract the magical properties dormant in the bones. When it appears no one is coming back to rescue her, Thisbe must train in secret, trying to learn how to control her fiery magic and use it to escape. As her situation becomes more grave, she might even have to align herself with the ultimate evil.Unfortunately it’s a risk she has to take.",Fantasy,"      Dragon Bones
      
          (The Unwanteds Quests #2)"
8,Kim Tomsic,"Wishes, magic, and dares abound when a tween math whiz tries to fit in at her new school by wishing on a magical cat clock only to suffer catastrophic consequences! Perfect for fans of Sarah Mlynowski, Wendy Mass, and Ingrid Law.Megan Meyers has a foolproof plan to reinvent herself at her new middle school. But when she’s dared to make something exciting happen by the end of her first day, Megan gets stuck in the middle of an epic rivalry between the two most popular girls in the seventh grade. And totally panics! Megan’s reputation has always been more science-geek-meets-Humane-Society-volunteer than party-planner-fun-maker. So, with nothing to lose as her classroom’s strange cat clock chimes 11:11 a.m., Megan makes a wish. And it comes true! In the form of an enchanted teen magazine that promises back-to-school makeovers and the secrets to winning over friends and crushes.But each wish comes with its own Pinocchio-esque side effects, and soon Megan finds herself coughing up hairballs as she makes bigger and bigger promises to her new friends. Now, if she can’t impress the school with the most spectacular kickoff event for Spirit Week they’ve ever seen—without using magic—her social life will be doomed and Megan may remain feline and friendless forever.",Childrens,      The 11:11 Wish
9,Cori Doerrfeld,"A universal, deeply moving exploration of grief and empathyWith its spare, poignant text and irresistibly sweet illustrations, The Rabbit Listened is a tender meditation on loss.When something terrible happens, Taylor doesn't know where to turn. All the animals are sure they have the answer. The chicken wants to talk it out, but Taylor doesn't feel like chatting. The bear thinks Taylor should get angry, but that's not quite right either. One by one, the animals try to tell Taylor how to process this loss, and one by one they fail. Then the rabbit arrives. All the rabbit does is listen, which is just what Taylor needs.Whether read in the wake of tragedy or as a primer for comforting others, this is a deeply moving and unforgettable story sure to soothe heartache of all sizes.",Childrens,      The Rabbit Listened
