,author,description,genre,title
0,Laura Lippman,"One is playing a long game. But which one?They meet at a local tavern in the small town of Belleville, Delaware. Polly is set on heading west. Adam says he’s also passing through.Yet she stays and he stays—drawn to this mysterious redhead whose quiet stillness both unnerves and excites him. Over the course of a punishing summer, Polly and Adam abandon themselves to a steamy, inexorable affair. Still, each holds something back from the other—dangerous, even lethal, secrets that begin to accumulate as autumn approaches, feeding the growing doubts they conceal.Then someone dies. Was it an accident, or part of a plan? By now, Adam and Polly are so ensnared in each other’s lives and lies that neither one knows how to get away—or even if they want to. Is their love strong enough to withstand the truth, or will it ultimately destroy them?Something—or someone—has to give.Which one will it be?",Mystery,      Sunburn
1,Stuart  Turton,"How do you stop a murder that’s already happened?At a gala party thrown by her parents, Evelyn Hardcastle will be killed--again. She's been murdered hundreds of times, and each day, Aiden Bishop is too late to save her. Doomed to repeat the same day over and over, Aiden's only escape is to solve Evelyn Hardcastle's murder and conquer the shadows of an enemy he struggles to even comprehend--but nothing and no one are quite what they seem.Deeply atmospheric and ingeniously plotted, The Seven Deaths of Evelyn Hardcastle is a highly original debut that will appeal to fans of Kate Atkinson and Agatha Christie.",Mystery,      The Seven Deaths of Evelyn Hardcastle
2,Dana  Mele,"Kay Donovan may have skeletons in her closet, but the past is past, and she's reinvented herself entirely. Now she's a star soccer player whose group of gorgeous friends run their private school with effortless popularity and acerbic wit. But when a girl's body is found in the lake, Kay's carefully constructed life begins to topple. The dead girl has left Kay a computer-coded scavenger hunt, which, as it unravels, begins to implicate suspect after suspect, until Kay herself is in the crosshairs of a murder investigation. But if Kay's finally backed into a corner, she'll do what it takes to survive. Because at Bates Academy, the truth is something you make...not something that happened.",Young Adult,      People Like Us
3,Lexie Elliott,"They were six university students from Oxford--friends and sometimes more than friends--spending an idyllic week together in a French farmhouse. It was supposed to be the perfect summer getaway--until they met Severine, the girl next door. For Kate Channing, Severine was an unwelcome presence, her inscrutable beauty undermining the close-knit group's loyalties amid the already simmering tensions. And after a huge altercation on the last night of the holiday, Kate knew nothing would ever be the same. There are some things you can't forgive, and there are some people you can't forget, like Severine, who was never seen again. Now, a decade later, the case is reopened when Severine's body is found in the well behind the farmhouse. Questioned along with her friends, Kate stands to lose everything she's worked so hard to achieve as suspicion mounts around her. Desperate to resolve her own shifting memories and fearful she will be forever bound to the woman whose presence still haunts her, Kate finds herself buried under layers of deception with no one to set her free.",Mystery,      The French Girl
4,John Hart,"The only writer in history to win consecutive Edgar Awards for Best Novel, New York Times bestselling author John Hart returns to the world of his most beloved novel, The Last ChildBuilding on the world first seen in The Last Child (“A magnificent creation” —The Washington Post), John Hart delivers a stunning vision of a secret world, rarely seen. It’s been ten years since the events that changed Johnny Merrimon’s life and rocked his hometown to the core. Since then, Johnny has fought to maintain his privacy, but books have been written of his exploits; the fascination remains. Living alone on six thousand acres of once-sacred land, Johnny’s only connection to normal life is his old friend, Jack. They’re not boys anymore, but the bonds remain. What they shared. What they lost. But Jack sees danger in the wild places Johnny calls home; he senses darkness and hunger, an intractable intent. Johnny will discuss none of it, but there are the things he knows, the things he can do. A lesser friend might accept such abilities as a gift, but Jack has felt what moves in the swamp: the cold of it, the unspeakable fear.More than an exploration of friendship, persistence, and forgotten power, The Hush leaves all categories behind, and cements Hart's status as a writer of unique power.",Mystery,"      The Hush
      
          ( Johnny Merrimon #2)"
5,Kelley Armstrong,"When Casey Duncan first arrived at Rockton, the off-the-grid, isolated community built as a haven for people running from their pasts, she had no idea what to expect. There are no cell phones, no internet, no mail, and no way of getting in or out without the town council's approval. She certainly didn't expect to become the town homicide detective. But, the very last thing she expected was for the council to drop a dangerous criminal into their midst without a plan to keep him imprisoned. And she never thought that she'd have to be responsible for him. The longer Oliver Brady stays in town, the more people seem to die around him. When evidence begins piling up that someone inside Rockton is working as his accomplice, Casey races to figure out who exactly Brady is and what crimes he's truly responsible for committing.",Mystery,"      This Fallen Prey
      
          (Rockton #3)"
6,Tom Sweterlitsch,"
Inception meets True Detective in this science-fiction thriller of spellbinding tension and staggering scope. The Gone World follows a special agent into a savage murder case with grave implications for the fate of mankind. 
Shannon Moss is part of a clandestine division within the Naval Criminal Investigative Service. In Western Pennsylvania, 1997, she is assigned to solve the murder of a Navy SEAL's family--and to locate his teenage daughter, who has disappeared. Though she can't share the information with conventional law enforcement, Moss discovers that the missing SEAL was an astronaut aboard the spaceship U.S.S. Libra--a ship assumed lost to the darkest currents of Deep Time. Moss knows first-hand the mental trauma of time-travel and believes the SEAL's experience with the future has triggered this violence. Determined to find the missing girl and driven by a troubling connection from her own past, Moss travels ahead in time to explore possible versions of the future, seeking evidence or insight that will crack the present-day case. To her horror, the future reveals that it's not only the fate of a family that hinges on her work, for what she witnesses rising over time's horizon and hurtling toward the present is the Terminus: the terrifying and cataclysmic end of humanity itself.Luminous and unsettling, The Gone World bristles with world-shattering ideas yet remains at its heart an intensely human story.",Science Fiction,      The Gone World
7,Cynthia Swanson,"“[A] triumph. Swanson is a name to be considered among the likes of Gillian Flynn, Chris Pavone, and Laura Lippman” (Library Journal, starred review).From the New York Times bestselling author of The Bookseller comes a gripping literary suspense novel set in the 1960s about a deeply troubled family and three women who will reveal its dark truths.In the autumn of 1960, Angie Glass is living an idyllic life in her Wisconsin hometown. At twenty-one, she’s married to charming, handsome Paul, and has just given birth to a baby boy. But one phone call changes her life forever.When Paul’s niece, Ruby, reports that her father, Henry, has committed suicide, and that her mother, Silja, is missing, Angie and Paul drop everything and fly to the small upstate town of Stonekill, New York to be by Ruby’s side.Angie thinks they’re coming to the rescue of Paul’s grief-stricken young niece, but Ruby is a composed and enigmatic seventeen-year-old who resists Angie’s attempts to nurture her. As Angie learns more about the complicated Glass family, staying in Henry and Silja’s eerie and ultra-modern house on the edge of the woods, she begins to question the very fabric of her own marriage.Through Silja’s flashbacks, Angie’s discovery of astonishing truths, and Ruby’s strategic dissection of her parents’ state of affairs, a story of love, secrets, and ultimate betrayal is revealed.",Mystery,      The Glass Forest
8,Joanne Fluke,"Thanksgiving has a way of thawing the frostiest hearts in Lake Eden. But that won’t be happening for newlywed Hannah Swensen Barton—not after her husband suddenly disappears . . .   Hannah has felt as bitter as November in Minnesota since Ross vanished without a trace and left their marriage in limbo. Still, she throws herself into a baking frenzy for the sake of pumpkin pie and Thanksgiving-themed treats while endless holiday orders pour into The Cookie Jar. Hannah even introduces a raspberry Danish pastry to the menu, and P.K., her husband’s assistant at KCOW-TV, will be one of the first to sample it. But instead of taking a bite, P.K., who is driving Ross’s car and using his desk at work, is murdered. Was someone plotting against P.K. all along or did Ross dodge a deadly dose of sweet revenge? Hannah will have to quickly sift through a cornucopia of clues and suspects to stop a killer from bringing another murder to the table . . .INDULGE IN JOANNE FLUKE’S CRIMINALLY DELICIOUS HANNAH SWENSEN MYSTERIES! BANANA CREAM PIE MURDER “Fans of the long-running cozy series will enjoy catching up with Hannah and the rest of Lake Eden’s residents as well as perusing the numerous, delicious-sounding recipes.” —Booklist DOUBLE FUDGE BROWNIE MURDER “Lively…Add the big surprise ending, and fans will be more than satisfied.” —Publishers Weekly BLACKBERRY PIE MURDER “Lake Eden’s favorite baker, Hannah Swensen finds herself on the wrong end of a police investigation…in Fluke’s good-natured 19th [installment].” —Kirkus Reviews RED VELVET CUPCAKE MURDER “Culinary cozies don’t get any tastier than this winning series.” —Library Journal   “If your reading habits alternate between curling up with a good mystery or with a good cookbook, you ought to know about Joanne Fluke.” —The Charlotte Observer",Mystery,"      Raspberry Danish Murder
      
          (Hannah Swensen #22)"
9,Tiffany Reisz,"They called themselves “the lucky ones.” They were seven children either orphaned or abandoned by their parents and chosen by legendary philanthropist and brain surgeon Dr. Vincent Capello to live in The Dragon, his almost magical beach house on the Oregon Coast. Allison was the youngest of the lucky ones living an idyllic life with her newfound family…until the night she almost died, and was then whisked away from the house and her adopted family forever.Now, thirteen years later, Allison receives a letter from Roland, Dr. Capello’s oldest son, warning her that their father is ill and in his final days. Allison determines she must go home again and confront the ghosts of her past. She's determined to find out what really happened that fateful night--was it an accident or, as she's always suspected, did one of her beloved family members try to kill her?But digging into the past can reveal horrific truths, and when Allison pieces together the story of her life, she'll learns the terrible secret at the heart of the family she once loved but never really knew.A vivid and suspenseful tale of family, grief, love—and the dark secrets that bind everything together—Tiffany Reisz’s latest is enthralling to the final page.",Mystery,      The Lucky Ones
