,author,description,genre,title
0,Michelle McNamara,"Introduction by Gillian FlynnAfterword by Patton OswaltA masterful true crime account of the Golden State Killer—the elusive serial rapist turned murderer who terrorized California for over a decade—from Michelle McNamara, the gifted journalist who died tragically while investigating the case.""You’ll be silent forever, and I’ll be gone in the dark.""For more than ten years, a mysterious and violent predator committed fifty sexual assaults in Northern California before moving south, where he perpetrated ten sadistic murders. Then he disappeared, eluding capture by multiple police forces and some of the best detectives in the area.Three decades later, Michelle McNamara, a true crime journalist who created the popular website TrueCrimeDiary.com, was determined to find the violent psychopath she called ""the Golden State Killer."" Michelle pored over police reports, interviewed victims, and embedded herself in the online communities that were as obsessed with the case as she was.At the time of the crimes, the Golden State Killer was between the ages of eighteen and thirty, Caucasian, and athletic—capable of vaulting tall fences. He always wore a mask. After choosing a victim—he favored suburban couples—he often entered their home when no one was there, studying family pictures, mastering the layout. He attacked while they slept, using a flashlight to awaken and blind them. Though they could not recognize him, his victims recalled his voice: a guttural whisper through clenched teeth, abrupt and threatening.I’ll Be Gone in the Dark—the masterpiece McNamara was writing at the time of her sudden death—offers an atmospheric snapshot of a moment in American history and a chilling account of a criminal mastermind and the wreckage he left behind. It is also a portrait of a woman’s obsession and her unflagging pursuit of the truth. Framed by an introduction by Gillian Flynn and an afterword by her husband, Patton Oswalt, the book was completed by Michelle’s lead researcher and a close colleague. Utterly original and compelling, it is destined to become a true crime classic—and may at last unmask the Golden State Killer.",Nonfiction,      I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer
1,Terese Marie Mailhot,"A NEW YORK TIMES BESTSELLERSelected by Emma Watson as the Our Shared Shelf Book Club Pick for March/April 2018 ""Heart Berries by Terese Mailhot is an astounding memoir in essays. Here is a wound. Here is need, naked and unapologetic. Here is a mountain woman, towering in words great and small... What Mailhot has accomplished in this exquisite book is brilliance both raw and refined."" ―Roxane Gay, author of Hunger Heart Berries is a powerful, poetic memoir of a woman's coming of age on the Seabird Island Indian Reservation in the Pacific Northwest. Having survived a profoundly dysfunctional upbringing only to find herself hospitalized and facing a dual diagnosis of post traumatic stress disorder and bipolar II disorder; Terese Marie Mailhot is given a notebook and begins to write her way out of trauma. The triumphant result is Heart Berries, a memorial for Mailhot's mother, a social worker and activist who had a thing for prisoners; a story of reconciliation with her father―an abusive drunk and a brilliant artist―who was murdered under mysterious circumstances; and an elegy on how difficult it is to love someone while dragging the long shadows of shame.Mailhot trusts the reader to understand that memory isn't exact, but melded to imagination, pain, and what we can bring ourselves to accept. Her unique and at times unsettling voice graphically illustrates her mental state. As she writes, she discovers her own true voice, seizes control of her story, and, in so doing, reestablishes her connection to her family, to her people, and to her place in the world. ""A sledgehammer. . . . Her experiments with structure and language . . . are in the service of trying to find new ways to think about the past, trauma, repetition and reconciliation, which might be a way of saying a new model for the memoir."" ―Parul Sehgal, The New York Times""I am quietly reveling in the profundity of Mailhot’s deliberate transgression in Heart Berries and its perfect results. I love her suspicion of words. I have always been terrified and in awe of the power of words – but Mailhot does not let them silence her in Heart Berries. She finds the purest way to say what she needs to say... [T]he writing is so good it’s hard not to temporarily be distracted from the content or narrative by its brilliance...Perhaps, because this author so generously allows us to be her witness, we are somehow able to see ourselves more clearly and become better witnesses to ourselves."" ―Emma Watson, Official March/April selection for Our Shared Shelf",Autobiography,      Heart Berries: A Memoir
2,Steven Pinker,"""My new favorite book of all time."" --Bill Gates ""A terrific book...[Pinker] recounts the progress across a broad array of metrics, from health to wars, the environment to happiness, equal rights to quality of life."" --The New York TimesThe follow-up to Pinker's groundbreaking The Better Angels of Our Nature presents the big picture of human progress: people are living longer, healthier, freer, and happier lives, and while our problems are formidable, the solutions lie in the Enlightenment ideal of using reason and science. Is the world really falling apart? Is the ideal of progress obsolete? In this elegant assessment of the human condition in the third millennium, cognitive scientist and public intellectual Steven Pinker urges us to step back from the gory headlines and prophecies of doom, which play to our psychological biases. Instead, follow the data: In seventy-five jaw-dropping graphs, Pinker shows that life, health, prosperity, safety, peace, knowledge, and happiness are on the rise, not just in the West, but worldwide. This progress is not the result of some cosmic force. It is a gift of the Enlightenment: the conviction that reason and science can enhance human flourishing.Far from being a naïve hope, the Enlightenment, we now know, has worked. But more than ever, it needs a vigorous defense. The Enlightenment project swims against currents of human nature--tribalism, authoritarianism, demonization, magical thinking--which demagogues are all too willing to exploit. Many commentators, committed to political, religious, or romantic ideologies, fight a rearguard action against it. The result is a corrosive fatalism and a willingness to wreck the precious institutions of liberal democracy and global cooperation. With intellectual depth and literary flair, Enlightenment Now makes the case for reason, science, and humanism: the ideals we need to confront our problems and continue our progress.",Nonfiction,"      Enlightenment Now: The Case for Reason, Science, Humanism, and Progress"
3,Zadie Smith,"
From Zadie Smith, one of the most beloved authors of her generation, a new collection of essays 
Since she burst spectacularly into view with her debut novel almost two decades ago, Zadie Smith has established herself not just as one of the world's preeminent fiction writers, but also a brilliant and singular essayist. She contributes regularly to The New Yorker and the New York Review of Books on a range of subjects, and each piece of hers is a literary event in its own right.Arranged into five sections--In the World, In the Audience, In the Gallery, On the Bookshelf, and Feel Free--this new collection poses questions we immediately recognize. What is The Social Network--and Facebook itself--really about? ""It's a cruel portrait of us: 500 million sentient people entrapped in the recent careless thoughts of a Harvard sophomore."" Why do we love libraries? ""Well-run libraries are filled with people because what a good library offers cannot be easily found elsewhere: an indoor public space in which you do not have to buy anything in order to stay."" What will we tell our granddaughters about our collective failure to address global warming? ""So I might say to her, look: the thing you have to appreciate is that we'd just been through a century of relativism and deconstruction, in which we were informed that most of our fondest-held principles were either uncertain or simple wishful thinking, and in many areas of our lives we had already been asked to accept that nothing is essential and everything changes--and this had taken the fight out of us somewhat.""Gathering in one place for the first time previously unpublished work, as well as already classic essays, such as, ""Joy,"" and, ""Find Your Beach,"" Feel Free offers a survey of important recent events in culture and politics, as well as Smith's own life. Equally at home in the world of good books and bad politics, Brooklyn-born rappers and the work of Swiss novelists, she is by turns wry, heartfelt, indignant, and incisive--and never any less than perfect company. This is literary journalism at its zenith.",Writing,      Feel Free: Essays
4,T. Christian Miller,"Two Pulitzer Prize-winning journalists tell the riveting true story of Marie, a teenager who was charged with lying about having been raped, and the detectives who followed a winding path to arrive at the truth. On August 11, 2008, eighteen-year-old Marie truthfully reported that a masked man broke into her apartment near Seattle, Washington, and raped her, but within days police and even those closest to Marie became suspicious of her story. The police swiftly pivoted and began investigating her. Confronted with inconsistencies in her story and the doubts of others, Marie broke down and said her story was a lie. Police charged her with false reporting. One of her best friends created a web page branding her a liar.More than two years later, Colorado detective Stacy Galbraith was assigned to investigate a case of sexual assault. Describing the crime to her husband that night--the attacker's calm and practiced demeanor, which led the victim to surmise ""he's done this before""--Galbraith learned that the case bore an eerie resemblance to a rape that had taken place months earlier in a nearby town. She joined forces with the detective on that case, Edna Hendershot, and the two soon realized they were dealing with a serial rapist: a man who photographed his victims, threatening to release the images online, and whose calculated steps to erase all physical evidence suggested he might be a soldier or a cop. Through meticulous police work the detectives would eventually connect the rapist to other attacks in Colorado--and beyond.Based on investigative files and extensive interviews with the principals, An Unbelievable Story is a serpentine tale of doubt, lies, and a hunt for justice, unveiling the disturbing reality of how sexual assault is investigated today--and the long history of skepticism toward rape victims.",Nonfiction,      A False Report: A True Story of Rape in America
5,Francisco Cantú,"For Francisco Cantú, the border is in the blood: his mother, a park ranger and daughter of a Mexican immigrant, raised him in the scrublands of the Southwest. Haunted by the landscape of his youth, Cantú joins the Border Patrol. He and his partners are posted to remote regions crisscrossed by drug routes and smuggling corridors, where they learn to track other humans under blistering sun and through frigid nights. They haul in the dead and deliver to detention those they find alive. Cantú tries not to think where the stories go from there. Plagued by nightmares, he abandons the Patrol for civilian life. But when an immigrant friend travels to Mexico to visit his dying mother and does not return, Cantú discovers that the border has migrated with him, and now he must know the whole story. Searing and unforgettable, The Line Becomes a River makes urgent and personal the violence our border wreaks on both sides of the line.",Nonfiction,      The Line Becomes A River
6,Mackenzi Lee,"Based on Mackenzi Lee’s popular weekly Twitter series of the same name, Bygone Badass Broads features 52 remarkable and forgotten trailblazing women from all over the world. With tales of heroism and cunning, in-depth bios and witty storytelling, Bygone Badass Broads gives new life to these historic female pioneers. Starting in the fifth century BC and continuing to the present, the book takes a closer look at bold and inspiring women who dared to step outside the traditional gender roles of their time. Coupled with riveting illustrations and Lee’s humorous and conversational storytelling style, this book is an outright celebration of the badass women who paved the way for the rest of us.",Nonfiction,      Bygone Badass Broads: 52 Forgotten Women Who Changed the World
7,Michio Kaku,"Human civilization is on the verge of spreading beyond Earth. More than a possibility, it is becoming a necessity: whether our hand is forced by climate change and resource depletion or whether future catastrophes compel us to abandon Earth, one day we will make our homes among the stars.World-renowned physicist and futurist Michio Kaku explores in rich, accessible detail how humanity might gradually develop a sustainable civilization in outer space. With his trademark storytelling verve, Kaku shows us how science fiction is becoming reality: mind-boggling developments in robotics, nanotechnology, and biotechnology could enable us to build habitable cities on Mars; nearby stars might be reached by microscopic spaceships sailing through space on laser beams; and technology might one day allow us to transcend our physical bodies entirely.With irrepressible enthusiasm and wonder, Dr. Kaku takes readers on a fascinating journey to a future in which humanity could finally fulfil its long-awaited destiny among the stars - and perhaps even achieve immortality.",Science,"      The Future of Humanity: Terraforming Mars, Interstellar Travel, Immortality, and Our Destiny Beyond"
8,Brittney Cooper,"Black women are often considered angry and divisive in their interactions with others in both public and private. In mainstream feminism, our demand to have both our race and gender considered is called divisive from ""all women's issues."" In Black political spaces, our desire to have our womanhood considered is called a distraction from the real issue. However, the manner in which Black women have always insisted on their right to dignity, their right to be heard, and their desire to be considered on matters of national import has much to teach us about what makes American democracy work.Eloquent Rage takes up this politics of critical dissent, asking: How do Black women resist stereotypical portrayals of them angry, aggressive, scary and violent? How do Black women dissent from a national narrative about heterosexual Black intimacy that says we are undesirable, unlovable, and unfit for partnerships or marriages? How do we dissent from religious patriarchy? How do we use our participation in politics to resist the march of fascism? How does our embrace of Beyonce act as a kind of dissent against those who would dismiss as frivolous Black women's pursuit of pleasure and joy? Drawing together her funny, poignant, and often heartbreaking experiences of friendship, family, and intimate relationships, with insights from her career as a professor of women's and gender studies, Cooper writes compellingly about how Black women's critical dissent shows up in the everyday lives of women.With the election of Donald Trump and the massive step backward this signals for both African Americans and women, Eloquent Rage offers a way forward, one that encourages us all not to be cowed or silenced by fear. It looks to the lives of Black women -- one of the nation's most maligned subjects -- for direction. For it is Black women who model critical dissent as a practice of prophetic love not for who America is, but for who she can be.",Feminism,      Eloquent Rage: A Black Feminist Discovers Her Superpower
9,Andrew Morton,"For fans of the Netflix series The Crown and from the author of the New York Times bestseller 17 Carnations comes a captivating biography of Wallis Simpson, the notorious woman for whom Edward VIII gave up the throne. ""You have no idea how hard it is to live out a great romance."" -Wallis SimpsonBefore she became known as the woman who enticed a king from his throne and birthright, Bessie Wallis Warfield was a prudish and particular girl from Baltimore. At turns imaginative, ambitious, and spoiled, Wallis's first words as recalled by her family were ""me, me."" From that young age, she was in want of nothing but stability, status, and social acceptance as she fought to climb the social ladder and take her place in London society. As irony would have it, she would gain the love and devotion of a king, but only at the cost of his throne and her reputation.In WALLIS IN LOVE, acclaimed biographer Andrew Morton offers a fresh portrait of Wallis Simpson in all her vibrancy and brazenness as she transformed from a hard-nosed gold-digger to charming chatelaine. Using diary entries, letters, and other never-before-seen records, Morton takes us through Wallis's romantic adventures in Washington, China, and her entrance into the strange wonderland that is London society. During her journey, we meet an extraordinary array of characters, many of whom smoothed the way for her dalliance with the king of England, Edward VIII.WALLIS IN LOVE goes beyond Wallis's infamous persona and reveals a complex, domineering woman striving to determine her own fate and grapple with matters of the heart. ",Biography,"      Wallis in Love: The Untold Life of the Duchess of Windsor, the Woman Who Changed the Monarchy"
10,Steve Coll,"
Resuming the narrative of his Pulitzer Prize-winning Ghost Wars, bestselling author Steve Coll tells for the first time the epic and enthralling story of America's intelligence, military, and diplomatic efforts to defeat Al Qaeda and the Taliban in Afghanistan and Pakistan since 9/11
Prior to 9/11, the United States had been carrying out small-scale covert operations in Afghanistan, ostensibly in cooperation, although often in direct opposition, with I.S.I., the Pakistani intelligence agency. While the US was trying to quell extremists, a highly secretive and compartmentalized wing of I.S.I., known as ""Directorate S,"" was covertly training, arming, and seeking to legitimize the Taliban, in order to enlarge Pakistan's sphere of influence. After 9/11, when fifty-nine countries, led by the U. S., deployed troops or provided aid to Afghanistan in an effort to flush out the Taliban and Al Qaeda, the U.S. was set on an invisible slow-motion collision course with Pakistan.Today we know that the war in Afghanistan would falter badly because of military hubris at the highest levels of the Pentagon, the drain on resources and provocation in the Muslim world caused by the U.S.-led invasion of Iraq, and corruption. But more than anything, as Coll makes painfully clear, the war in Afghanistan was doomed because of the failure of the United States to apprehend the motivations and intentions of I.S.I.'s ""Directorate S"". This was a swirling and shadowy struggle of historic proportions, which endured over a decade and across both the Bush and Obama administrations, involving multiple secret intelligence agencies, a litany of incongruous strategies and tactics, and dozens of players, including some of the most prominent military and political figures. A sprawling American tragedy, the war was an open clash of arms but also a covert melee of ideas, secrets, and subterranean violence. Coll excavates this grand battle, which took place away from the gaze of the American public. With unsurpassed expertise, original research, and attention to detail, he brings to life a narrative at once vast and intricate, local and global, propulsive and painstaking. This is the definitive explanation of how America came to be so badly ensnared in an elaborate, factional, and seemingly interminable conflict in South Asia. Nothing less than a forensic examination of the personal and political forces that shape world history, Directorate S is a complete masterpiece of both investigative and narrative journalism.",Nonfiction,      Directorate S: The C.I.A. and America's Secret Wars in Afghanistan and Pakistan
11,Jonathan Abrams,"The definitive oral history of the iconic and beloved TV show The Wire,  as told by the actors, writers, directors, and others involved in its creationSince its final episode aired in 2008, HBO's acclaimed crime drama The Wire has only become more popular and influential. The issues it tackled, from the failures of the drug war and criminal justice system to systemic bias in law enforcement and other social institutions, have become more urgent and central to the national conversation. The show's actors, such as Idris Elba, Dominic West, and Michael B. Jordan, have gone on to become major stars. Its creators and writers, including David Simon and Richard Price, have developed dedicated cult followings of their own. Universities use the show to teach everything from film theory to criminal justice to sociology. Politicians and activists reference it when discussing policy. When critics compile lists of the Greatest TV Shows of All Time, The Wire routinely takes the top spot. It is arguably one of the great works of art America has produced in the 20th century.But while there has been a great deal of critical analysis of the show and its themes, until now there has never been a definitive, behind-the-scenes take on how it came to be made. With unparalleled access to all the key actors and writers involved in its creation, Jonathan Abrams tells the astonishing, compelling, and complete account of The Wire,  from its inception and creation through its end and powerful legacy.",Nonfiction,      All the Pieces Matter: The Inside Story of The Wire
12,Marilynne Robinson,"New essays on theological, political, and contemporary themes, by the Pulitzer Prize winnerMarilynne Robinson has plumbed the human spirit in her renowned novels, including Lila, winner of the National Book Critics Circle Award, and Gilead, winner of the Pulitzer Prize and the National Book Critics Circle Award. In this new essay collection she trains her incisive mind on our modern political climate and the mysteries of faith. Whether she is investigating how the work of great thinkers about America like Emerson and Tocqueville inform our political consciousness or discussing the way that beauty informs and disciplines daily life, Robinson's peerless prose and boundless humanity are on full display. What Are We Doing Here? is a call for Americans to continue the tradition of those great thinkers and to remake American political and cultural life as ""deeply impressed by obligation [and as] a great theater of heroic generosity, which, despite all, is sometimes palpable still.""",Nonfiction,      What Are We Doing Here?
13,Radley Balko,"After two three-year-old girls were raped and murdered in rural Mississippi, law enforcement pursued and convicted two innocent men: Kennedy Brewer and Levon Brooks. Together they spent a combined thirty years in prison before finally being exonerated in 2008. Meanwhile, the real killer remained free.The Cadaver King and the Country Dentist chronicles how the courts and Mississippi's death investigation system--a relic of the Jim Crow era--failed to deliver justice for its citizens and recounts the horrifying story of the two men who built successful careers on the back of this system. For nearly two decades, medical examiner Dr. Steven Hayne performed the vast majority of Mississippi's autopsies, while his friend Dr. Michael West, a local dentist, pitched himself as a forensic jack-of-all-trades. Together they became the go-to experts for prosecutors and helped put countless Mississippians in prison. But then some of those convictions began to fall apart. Radley Balko and Tucker Carrington argue that bad forensics, structural racism, and institutional failures are at fault, and raise sobering questions about our criminal justice system's ability to address them.",Crime,      The Cadaver King and the Country Dentist: A True Story of Injustice in the American South
14,Laura Smith,"A young woman chafing at the confines of marriage confronts the high cost of craving freedom and adventureAt twenty-five, as her wedding date approached, Laura Smith began to feel trapped. Not by her fiance, who shared her appetite for adventure, but by the unsettling idea that it was hard to be at once married and free.Laura wanted her life to be different. She wanted her marriage to be different. And she found in the strangely captivating story of another restless young woman determined to live without constraints both an enticement and a challenge. Barbara Newhall Follett was a free-spirited trailblazer who published her first novel at 11, enlisted as a deck hand on a boat bound for the south China seas at 15 and was one of the first women to hike the Appalachian trail. Then in December 1939, when she was not much older than Laura, she walked out of her apartment on a quiet tree-lined street in Brookline, leaving behind a fraying marriage, and vanished without a trace. Obsessed by her story, Laura set off to find out what had happened.The Art of Vanishing is a riveting mystery and a piercing exploration of marriage and convention that asks deep and uncomfortable questions: Why do we give up on our childhood dreams? Is marriage a golden noose? Must we find ourselves in the same row houses with Pottery Barn lamps telling our kids to behave? Searingly honest and written with a raw intensity, it will challenge you to rethink your most intimate decisions and may just upend your life.",Autobiography,      The Art of Vanishing: A Memoir of Wanderlust
15,Daniel Stone,"The true adventures of David Fairchild, a late-nineteenth-century food explorer who traveled the globe and introduced diverse crops like avocados, mangoes, seedless grapes--and thousands more--to the American plate.In the nineteenth century, American meals were about subsistence, not enjoyment. But as a new century approached, appetites broadened, and David Fairchild, a young botanist with an insatiable lust to explore and experience the world, set out in search of foods that would enrich the American farmer and enchant the American eater.Kale from Croatia, mangoes from India, and hops from Bavaria. Peaches from China, avocados from Chile, and pomegranates from Malta. Fairchild's finds weren't just limited to food: From Egypt he sent back a variety of cotton that revolutionized an industry, and via Japan he introduced the cherry blossom tree, forever brightening America's capital. Along the way, he was arrested, caught diseases, and bargained with island tribes. But his culinary ambition came during a formative era, and through him, America transformed into the most diverse food system ever created.",History,      The Food Explorer: The True Adventures of the Globe-Trotting Botanist Who Transformed What America Eats
16,Matt Young,"Eat the Apple is a twisted, and darkly hilarious story of American youth and masculinity in an age of continuous war. Matt Young joined the Marine Corps at age eighteen after a drunken night culminating in wrapping his car around a fire hydrant. The teenage wasteland he fled followed him to the training bases charged with making him a Marine. Matt survived the training and then not one, not two, but three deployments to Iraq, where the testosterone, danger, and stakes for him and his fellow grunts were dialed up a dozen decibels. Young’s story drops us unarmed into Marine Corps culture and lays bare the absurdism of 21st-century war, the manned-up vulnerability of those on the front lines, and the true, if often misguided, motivations that drove a young man to a life at war.",Autobiography,      Eat the Apple
17,Sara Saedi,"At thirteen, bright-eyed, straight-A student Sara Saedi uncovered a terrible family secret: she was breaking the law simply by living in the United States. Only two years old when her parents fled Iran, she didn’t learn of her undocumented status until her older sister wanted to apply for an after-school job, but couldn’t because she didn’t have a Social Security number.Fear of deportation kept Sara up at night, but it didn’t keep her from being a teenager. She desperately wanted a green card, along with clear skin, her own car, and a boyfriend.Americanized follows Sara’s progress toward getting her green card, but that’s only a portion of her experiences as an Iranian-“American” teenager. From discovering that her parents secretly divorced to facilitate her mother’s green card application to learning how to tame her unibrow, Sara pivots from the terrifying prospect that she might be kicked out of the country at any time to the almost-as-terrifying possibility that she might be the only one of her friends without a date to the prom.",Nonfiction,      Americanized: Rebel Without a Green Card
18,Mamrie Hart,"The Year of Yes for the millennial set: in I've Got This Round, actress, writer, and YouTube sensation Mamrie Hart returns with even more spirit, adventure, and heart as she decides to live life at full-tilt.When Mamrie simultaneously enters her 30s and finds herself single for the first time since college, the world is suddenly full of possibilities. Emboldened by the cool confidence that comes with the end of one's 20s plus the newfound independence of an attachment-free lifestyle, Mamrie commits herself to living life as fully as possible. She seeks out once-in-a-lifetime experiences (like meeting Dolly Parton), bucket-list goals (like visiting the Moulin Rouge), and madcap adventures (like going anchors-away on a Backstreet Boys cruise)--all while diving back into the dating world for the first time in a decade.In I've Got This Round, readers will find the same shameless honesty and I'll-try-anything-once spirit they loved in You Deserve a Drink. Mamrie doubles down on her strong female friendships, her willingness to engage in shenanigans, and her inimitable candor, taking the reader along for a wild and unforgettable journey through adulting.",Nonfiction,      I've Got This Round
