,author,description,genre,title
0,Tayari Jones,"Named an Oprah’s Book Club Selection.Newlyweds Celestial and Roy are the embodiment of both the American Dream and the New South. He is a young executive, and she is an artist on the brink of an exciting career. But as they settle into the routine of their life together, they are ripped apart by circumstances neither could have imagined. Roy is arrested and sentenced to twelve years for a crime Celestial knows he didn’t commit. Though fiercely independent, Celestial finds herself bereft and unmoored, taking comfort in Andre, her childhood friend, and best man at their wedding. As Roy’s time in prison passes, she is unable to hold on to the love that has been her center. After five years, Roy’s conviction is suddenly overturned, and he returns to Atlanta ready to resume their life together.",Fiction,      An American Marriage
1,Susan Meissner,"From the acclaimed author of Secrets of a Charmed Life and A Bridge Across the Ocean comes a new novel set in Philadelphia during the Spanish flu epidemic of 1918, which tells the story of a family reborn through loss and love.In 1918, Philadelphia was a city teeming with promise. Even as its young men went off to fight in the Great War, there were opportunities for a fresh start on its cobblestone streets. Into this bustling town, came Pauline Bright and her husband, filled with hope that they could now give their three daughters--Evelyn, Maggie, and Willa--a chance at a better life.But just months after they arrive, the Spanish Flu reaches the shores of America. As the pandemic claims more than twelve thousand victims in their adopted city, they find their lives left with a world that looks nothing like the one they knew. But even as they lose loved ones, they take in a baby orphaned by the disease who becomes their single source of hope. Amidst the tragedy and challenges, they learn what they cannot live without--and what they are willing to do about it.As Bright as Heaven is the compelling story of a mother and her daughters who find themselves in a harsh world, not of their making, which will either crush their resolve to survive or purify it.",Historical,      As Bright as Heaven
2,Sophie Kinsella,"After being together for ten years, Sylvie and Dan have all the trimmings of a happy life and marriage; they have a comfortable home, fulfilling jobs, beautiful twin girls, and communicate so seamlessly, they finish each other's sentences. However, a trip to the doctor projects they will live another 68 years together and panic sets in. They never expected ""until death do us part"" to mean seven decades.In the name of marriage survival, they quickly concoct a plan to keep their relationship fresh and exciting: they will create little surprises for each other so that their (extended) years together will never become boring. But in their pursuit to execute Project Surprise Me, mishaps arise and secrets are uncovered that start to threaten the very foundation of their unshakable bond. When a scandal from the past is revealed that question some important untold truths, they begin to wonder if they ever really knew each other after all.",Womens Fiction,      Surprise Me
3,Laura Lippman,"One is playing a long game. But which one?They meet at a local tavern in the small town of Belleville, Delaware. Polly is set on heading west. Adam says he’s also passing through.Yet she stays and he stays—drawn to this mysterious redhead whose quiet stillness both unnerves and excites him. Over the course of a punishing summer, Polly and Adam abandon themselves to a steamy, inexorable affair. Still, each holds something back from the other—dangerous, even lethal, secrets that begin to accumulate as autumn approaches, feeding the growing doubts they conceal.Then someone dies. Was it an accident, or part of a plan? By now, Adam and Polly are so ensnared in each other’s lives and lies that neither one knows how to get away—or even if they want to. Is their love strong enough to withstand the truth, or will it ultimately destroy them?Something—or someone—has to give.Which one will it be?",Mystery,      Sunburn
4,Chanel Cleeton,"After the death of her beloved grandmother, a Cuban-American woman travels to Havana, where she discovers the roots of her identity--and unearths a family secret hidden since the revolution...Havana, 1958. The daughter of a sugar baron, nineteen-year-old Elisa Perez is part of Cuba's high society, where she is largely sheltered from the country's growing political unrest--until she embarks on a clandestine affair with a passionate revolutionary...Miami, 2017. Freelance writer Marisol Ferrera grew up hearing romantic stories of Cuba from her late grandmother Elisa, who was forced to flee with her family during the revolution. Elisa's last wish was for Marisol to scatter her ashes in the country of her birth. Arriving in Havana, Marisol comes face-to-face with the contrast of Cuba's tropical, timeless beauty and its perilous political climate. When more family history comes to light and Marisol finds herself attracted to a man with secrets of his own, she'll need the lessons of her grandmother's past to help her understand the true meaning of courage.",Historical,      Next Year in Havana
5,Amy Bloom,"For readers of The Paris Wife and The Swans of Fifth Avenue comes a ""sensuous, captivating account of a forbidden affair between two women"" (People)--Eleanor Roosevelt and ""first friend"" Lorena Hickok.Lorena Hickok meets Eleanor Roosevelt in 1932 while reporting on Franklin Roosevelt's first presidential campaign. Having grown up worse than poor in South Dakota and reinvented herself as the most prominent woman reporter in America, ""Hick,"" as she's known to her friends and admirers, is not quite instantly charmed by the idealistic, patrician Eleanor. But then, as her connection with the future first lady deepens into intimacy, what begins as a powerful passion matures into a lasting love, and a life that Hick never expected to have. She moves into the White House, where her status as ""first friend"" is an open secret, as are FDR's own lovers. After she takes a job in the Roosevelt administration, promoting and protecting both Roosevelts, she comes to know Franklin not only as a great president but as a complicated rival and an irresistible friend, capable of changing lives even after his death. Through it all, even as Hick's bond with Eleanor is tested by forces both extraordinary and common, and as she grows as a woman and a writer, she never loses sight of the love of her life.From Washington, D.C. to Hyde Park, from a little white house on Long Island to an apartment on Manhattan's Washington Square, Amy Bloom's new novel moves elegantly through fascinating places and times, written in compelling prose and with emotional depth, wit, and acuity.Praise for White Houses""Amy Bloom brings an untold slice of history so dazzlingly and devastatingly to life, it took my breath away.""--Paula McLain, author of The Paris Wife""Vivid and tender . . . Bloom--interweaving fact and fancy--lavishes attention on [Hickok], bringing Hick, the novel's narrator and true subject, to radiant life.""--O: The Oprah Magazine""Radiant . . . an indelible love story, one propelled not by unlined youth and beauty but by the kind of soul-mate connection even distance, age, and impossible circumstances couldn't dim . . . Bloom's goal is less to relitigate history than to portray the blandly sexless figurehead of First Lady as something the job rarely allows those women to be--a loving, breathing human being. And she does it brilliantly.""--Entertainment Weekly",Historical,      White Houses
6,Rachel Hartman,"In the medieval kingdom of Goredd, women are expected to be ladies, men are their protectors, and dragons get to be whomever they want. Tess, stubbornly, is a troublemaker. You can't make a scene at your sister's wedding and break a relative's nose with one punch (no matter how pompous he is) and not suffer the consequences. As her family plans to send her to a nunnery, Tess yanks on her boots and sets out on a journey across the Southlands, alone and pretending to be a boy.Where Tess is headed is a mystery, even to her. So when she runs into an old friend, it's a stroke of luck. This friend is a quigutl--a subspecies of dragon--who gives her both a purpose and protection on the road. But Tess is guarding a troubling secret. Her tumultuous past is a heavy burden to carry, and the memories she's tried to forget threaten to expose her to the world in more ways than one.",Fantasy,"      Tess of the Road
      
          (Tess of the Road #1)"
7,Rhiannon Navin,"“Perfect for fans of Room… a heartbreaking but important novel.” —Real Simple Readers of Jodi Picoult and Liane Moriarty will also like this tenderhearted debut about healing and family, narrated by an unforgettable six-year-old boy who reminds us that sometimes the littlest bodies hold the biggest hearts and the quietest voices speak the loudest.Squeezed into a coat closet with his classmates and teacher, first grader Zach Taylor can hear gunshots ringing through the halls of his school. A gunman has entered the building, taking nineteen lives and irrevocably changing the very fabric of this close-knit community. While Zach's mother pursues a quest for justice against the shooter's parents, holding them responsible for their son's actions, Zach retreats into his super-secret hideout and loses himself in a world of books and art. Armed with his newfound understanding, and with the optimism and stubbornness only a child could have, Zach sets out on a captivating journey towards healing and forgiveness, determined to help the adults in his life rediscover the universal truths of love and compassion needed to pull them through their darkest hours.",Fiction,      Only Child
8,Tanaz Bhathena,"A timeless exploration of high-stakes romance, self-discovery, and the lengths we go to love and be loved.  Sixteen-year-old Zarin Wadia is many things: a bright and vivacious student, an orphan, a risk taker. She’s also the kind of girl that parents warn their kids to stay away from: a troublemaker whose many romances are the subject of endless gossip at school.  You don't want to get involved with a girl like that, they say. So how is it that eighteen-year-old Porus Dumasia has only ever had eyes for her? And how did Zarin and Porus end up dead in a car together, crashed on the side of a highway in Jeddah, Saudi Arabia? When the religious police arrive on the scene, everything everyone thought they knew about Zarin is questioned. And as her story is pieced together, told through multiple perspectives, it becomes clear that she was far more than just a girl like that. This beautifully written debut novel from Tanaz Bhathena reveals a rich and wonderful new world to readers. It tackles complicated issues of race, identity, class, and religion, and paints a portrait of teenage ambition, angst, and alienation that feels both inventive and universal.",Young Adult,      A Girl Like That
9,Lisa Kleypas,"A woman who defies her timeDr. Garrett Gibson, the only female physician in England, is as daring and independent as any man—why not take her pleasures like one? Yet she has never been tempted to embark on an affair, until now. Ethan Ransom, a former detective for Scotland Yard, is as gallant as he is secretive, a rumored assassin whose true loyalties are a mystery. For one exhilarating night, they give in to their potent attraction before becoming strangers again.A man who breaks every ruleAs a Ravenel by-blow spurned by his father, Ethan has little interest in polite society, yet he is captivated by the bold and beautiful Garrett. Despite their vow to resist each other after that sublime night, she is soon drawn into his most dangerous assignment yet. When the mission goes wrong, it will take all of Garrett's skill and courage to save him. As they face the menace of a treacherous government plot, Ethan is willing to take any risk for the love of the most extraordinary woman he's ever known.",Romance,"      Hello Stranger
      
          (The Ravenels #4)"
