,author,description,genre,title
0,Dhonielle Clayton,"Camellia Beauregard is a Belle. In the opulent world of Orléans, Belles are revered, for they control Beauty, and Beauty is a commodity coveted above all else. In Orléans, the people are born gray, they are born damned, and only with the help of a Belle and her talents can they transform and be made beautiful.But it’s not enough for Camellia to be just a Belle. She wants to be the favorite—the Belle chosen by the Queen of Orléans to live in the royal palace, to tend to the royal family and their court, to be recognized as the most talented Belle in the land. But once Camellia and her Belle sisters arrive at court, it becomes clear that being the favorite is not everything she always dreamed it would be. Behind the gilded palace walls live dark secrets, and Camellia soon learns that the very essence of her existence is a lie—that her powers are far greater, and could be more dangerous, than she ever imagined. And when the queen asks Camellia to risk her own life and help the ailing princess by using Belle powers in unintended ways, Camellia now faces an impossible decision. With the future of Orléans and its people at stake, Camellia must decide—save herself and her sisters and the way of the Belles—or resuscitate the princess, risk her own life, and change the ways of her world forever.",Fantasy,"      The Belles
      
          (The Belles  #1)"
1,Tamora Pierce,"Arram. Varice. Ozorne. In the first book in the Numair Chronicles, three student mages are bound by fate . . . fated for trouble.Arram Draper is a boy on the path to becoming one of the realm’s most powerful mages. The youngest student in his class at the Imperial University of Carthak, he has a Gift with unlimited potential for greatness–and for attracting danger. At his side are his two best friends: Varice, a clever girl with an often-overlooked talent, and Ozorne, the “leftover prince” with secret ambitions. Together, these three friends forge a bond that will one day shape kingdoms. And as Ozorne gets closer to the throne and Varice gets closer to Arram’s heart, Arram begins to realize that one day soon he will have to decide where his loyalties truly lie. In the Numair Chronicles, readers will be rewarded with the never-before-told story of how Numair Salmalín came to Tortall. Newcomers will discover an unforgettable fantasy adventure where a kingdom’s future rests on the shoulders of a talented young man with a knack for making vicious enemies.Act fast! The first printing of the hardcover includes a collector’s edition poster!",Fantasy,"      Tempests and Slaughter
      
          (The Numair Chronicles #1)"
2,Morgan Rhodes,"As two lethal elemental gods set out to destroy Mytica, sworn enemies must become allies in the final fight to save the kingdoms.Jonas continues to willfully defy his destiny, but the consequences of plotting his own course are drastic. As the fight for Mytica rages on, he must decide just how much more he's willing to sacrifice.Lucia knows there's something special about her daughter and she'll do anything to protect her, even if that means facing Kyan alone.Amara is called back home to Kraeshia. Grandma Cortas has her own plans for Mytica's future. She promises Amara power, revenge, and dominance if she agrees to be part of her scheme.Magnus and Cleo's love will be put to the ultimate test. Dark magic is causing widespread destruction throughout the kingdom. Enemies across the sea are advancing. And unrest is stirring throughout the land. Is their love strong enough to withstand the outside forces tearing them apart?",Fantasy,"      Immortal Reign
      
          (Falling Kingdoms #6)"
3,S. Jae-Jones,"Six months after the end of Wintersong, Liesl is working toward furthering both her brother’s and her own musical careers. Although she is determined to look forward and not behind, life in the world above is not as easy as Liesl had hoped. Her younger brother Josef is cold, distant, and withdrawn, while Liesl can’t forget the austere young man she left beneath the earth, and the music he inspired in her. When troubling signs arise that the barrier between worlds is crumbling, Liesl must return to the Underground to unravel the mystery of life, death, and the Goblin King—who he was, who he is, and who he will be. What will it take to break the old laws once and for all? What is the true meaning of sacrifice when the fate of the world—or the ones Liesl loves—is in her hands?",Fantasy,"      Shadowsong
      
          (Wintersong #2)"
4,Rebecca   Ross,"When her seventeenth summer solstice arrives, Brienna desires only two things: to master her passion and to be chosen by a patron.Growing up in the southern Kingdom of Valenia at the renowned Magnalia House should have prepared her for such a life. While some are born with an innate talent for one of the five passions—art, music, dramatics, wit, and knowledge—Brienna struggled to find hers until she belatedly chose to study knowledge. However, despite all her preparations, Brienna’s greatest fear comes true—the solstice does not go according to plan and she is left without a patron.Months later, her life takes an unexpected turn when a disgraced lord offers her patronage. Suspicious of his intent, and with no other choices, she accepts. But there is much more to his story, and Brienna soon discovers that he has sought her out for his own vengeful gain. For there is a dangerous plot being planned to overthrow the king of Maevana—the archrival kingdom of Valenia—and restore the rightful queen, and her magic, to the northern throne. And others are involved—some closer to Brienna than she realizes.With war brewing between the two lands, Brienna must choose whose side she will remain loyal to—passion or blood. Because a queen is destined to rise and lead the battle to reclaim the crown. The ultimate decision Brienna must determine is: Who will be that queen?",Fantasy,"      The Queen's Rising
      
          (Untitled Trilogy #1)"
5,Ashley Poston,"Seventeen-year-old Ana is a scoundrel by nurture and an outlaw by nature. Found as a child drifting through space with a sentient android called D09, Ana was saved by a fearsome space captain and the grizzled crew she now calls family. But D09—one of the last remaining illegal Metals—has been glitching, and Ana will stop at nothing to find a way to fix him.Ana’s desperate effort to save D09 leads her on a quest to steal the coordinates to a lost ship that could offer all the answers. But at the last moment, a spoiled Ironblood boy beats Ana to her prize. He has his own reasons for taking the coordinates, and he doesn’t care what he’ll sacrifice to keep them.When everything goes wrong, she and the Ironblood end up as fugitives on the run. Now their entire kingdom is after them—and the coordinates—and not everyone wants them captured alive.What they find in a lost corner of the universe will change all their lives—and unearth dangerous secrets. But when a darkness from Ana’s past returns, she must face an impossible choice: does she protect a kingdom that wants her dead or save the Metal boy she loves?",Young Adult,"      Heart of Iron
      
          (Heart of Iron #1)"
6,Rachel Caine,"Petty criminal Zara Cole has a painful past that’s made her stronger than most, which is why she chose life in New Detroit instead of moving with her family to Mars. In her eyes, living inside a dome isn’t much better than a prison cell.Still, when Zara commits a crime that has her running scared, jail might be exactly where she’s headed. Instead Zara is recruited into the Honors, an elite team of humans selected by the Leviathan—a race of sentient alien ships—to explore the outer reaches of the universe as their passengers.Zara seizes the chance to flee Earth’s dangers, but when she meets Nadim, the alien ship she’s assigned, Zara starts to feel at home for the first time. But nothing could have prepared her for the dark, ominous truths that lurk behind the alluring glitter of starlight.",Young Adult,"      Honor Among Thieves
      
          (The Honors #1)"
7,Tricia Levenseller,"Alosa's mission is finally complete. Not only has she recovered all three pieces of the map to a legendary hidden treasure, but the pirates who originally took her captive are now prisoners on her ship. Still unfairly attractive and unexpectedly loyal, first mate Riden is a constant distraction, but now he's under her orders. And she takes great comfort in knowing that the villainous Vordan will soon be facing her father's justice.When Vordan exposes a secret her father has kept for years, Alosa and her crew find themselves in a deadly race with the feared Pirate King. Despite the danger, Alosa knows they will recover the treasure first . . . after all, she is the daughter of the Siren Queen.",Fantasy,"      Daughter of the Siren Queen
      
          (Daughter of the Pirate King #2)"
8,Kresley Cole,"New intrigues, adventures, and stunning revelations fill the penultimate installment of #1 New York Times best-selling author Kresley Cole’s electrifying Arcana Chronicles.In a world teetering on the edge . . .When Evie receives life-changing—and possibly game-changing—news, she has trouble believing it. Why doesn’t she feel any different? Is it possible someone she trusts might be lying?With enemies at every turn . . .Tensions seethe inside the castle of lost time as Evie starts to doubt her own sanity. Answers can be found outside their stronghold, but will Death help her find them—or prevent her from learning the truth about her future and Jack’s possible survival?Darkness beckons. A mysterious, sinister power begins to affect the Arcana in its path. Forced out into the wasteland alone, Evie must depend on unexpected allies. But as a battle with Richter looms, can her new alliance defeat the Dark Calling before hell reigns on earth?",Young Adult,"      The Dark Calling
      
          (The Arcana Chronicles #5)"
9,Rachel Hartman,"In the medieval kingdom of Goredd, women are expected to be ladies, men are their protectors, and dragons get to be whomever they want. Tess, stubbornly, is a troublemaker. You can't make a scene at your sister's wedding and break a relative's nose with one punch (no matter how pompous he is) and not suffer the consequences. As her family plans to send her to a nunnery, Tess yanks on her boots and sets out on a journey across the Southlands, alone and pretending to be a boy.Where Tess is headed is a mystery, even to her. So when she runs into an old friend, it's a stroke of luck. This friend is a quigutl--a subspecies of dragon--who gives her both a purpose and protection on the road. But Tess is guarding a troubling secret. Her tumultuous past is a heavy burden to carry, and the memories she's tried to forget threaten to expose her to the world in more ways than one.",Fantasy,"      Tess of the Road
      
          (Tess of the Road #1)"
