,author,description,genre,title
0,Margaret Atwood,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now...",Fiction,      The Handmaid's Tale
1,Agatha Christie,"*للقطارات سحر غامض تحدي الزمن*دائما يلهب خيال المبدعين. والت ديزني رسم ميكي ماوس لأول مرة في القطار، جي كي رولينج فكرت في ملحمتها هاري بوتر اثناء ركوبها القطاراجاثا كريستي استلهمت رائعتها جريمة قطار الشرق السريع في رحلة لها علي متن ذلك القطار المهيب العابر للدول والقارات*وللرواية البوليسية سحر غامض تحدي الزمن*واجاثا كريستي لها روائع في هذا المجال، وجريمة قطار الشرق السريع احدهابعربة قطار ملئ بالشخصيات المختلفة المتباينة..وامرأة غامضة ترتدي كيمونو احمر تجوب العربة ليلالدرجة انه بعد 75 عاما من كتابتها سيحولها كينيث براناه -بروفيسر لوكهارت في هاري بوتر ومخرج اعادة سندريلا لديزني من عامين- لفيلم جديد ضخم في 2017برغم من ان فيلما تم انتاجه من قبل لكنه هذه المرة سيقوم هو، برناه، بدور المحقق بوارو وجوني ديب في دور راتشيت...الذي ستدور حوله الاحداثمع ميشيل فايفر، مدام جودي دانيش وغيرها من النجوم المتالقينلتكون بجانب انها من أهم الروايات البوليسية التي باعت الآلاف النسخ، تم تحويلها للسينما والراديو والتلفزيون بل ولعبة فيديو ** القــصـــة **~~~~~~~~
مع 13 شخصية بعربة قطار نوم من قطارات الشرق السريع المتجهة من اسطنبول الي لندن، ينجح بوارو بصعوبة ان ينضم لهم في حجز مكان بها، الفضل لصديقه وأحد رؤساء شركة قطارات النوم السيد بوك ، وهناك أيضا الدكتور الذي سينضم لهم للتحقيقاتالقطار يتوقف بسبب الجليد...وجريمة قتل تحدث لشخصية حاولت الاستنجاد من قبل ببوارو ولكنه لم يرق له من اول وهلةوتبدأ التحقيقات الكلاسيكية ... لتلك القضية المعقدةوالتي لا تنفك تزداد تعقيدا بمختلف روايات الركاب المختلفين في النوع والجنس والعمر والطبقات الاجتماعية بشكل رهيبالسيدة شبارد الظريفة تؤكد أن أحدهم كان بحجرتهاواقاويل مختلفة عن شخص متنكر في ملابس مراقب عربة قطار قصير اسمر ذو صوت نسائي وبوارو نفسه وغيره يلمحون امرأة غامضة غريبة طويلة ترتدي رداء نوم احمر ذو نقوش يابانية تتجول بالعربة ليلاياللغموض، ياللغرابةياللتعقيدات التي تواجه بوارووتواجهنا معهوبشكل روتيني ناخذ اقاويل الركاب ، نفتش حقائبهم، يجلس بوارو ليفكرتعمل خلايا عقله الرماديةيضغط علي الجميع بناء علي ملاحظاتهيكتشف حقائق يفجر مفاجأتوربما تلك هي اللغز الوحيد الذي ينتهي بحلين مختلفين تمامافإيهم ستختارلا تقلق لم أحرق لك شيئاولنر لمحة من الشخصيات------------** الشخــصــيـات **---------
الشخصيات الأثني عشر غاية في التباين والغرابةبوارو عبقري كالعادة بخلايا عقله الرماديةالسيد بوك صديقه الوسيم صاحب شركة عربات قطار النوم يحاول ان يفكر معه طول الوقت بشكل رزين لا يخلو من النمطيةالسيدة شببارد تقريبا كانت افضل شخصية وجميل ان تخيلتها بشخصية ميشيل فايفر التي ستقوم بدورها..الحوار كان ظريف جدا وكوميدي خفف كثيرا من قتامة ورعب جو الاحتجاز في القطار مع الجثةالانسة ماري شخصية بسيطة ولكنها قوية بنفس الوقت، تصويرها اعجبني جدا وللاسف دار حولها الكثير من الشكالاميرة العجوز دراجومروف بعنجهيتها المحببة للنفس، وقولها ان القدر هو الذي رتب وجود المحقق البارع بوارو في ذلك التوقيتوالسيد راتشيت الذي سيحيرنا طوال الأحداث--------------** جو الأحداث **----------

كما قلت، للقطارات سحربالاخص اذا كنت ستقضي فيه وقتا ، اياما بلياليها، مع شخصيات مختلفةوللقطارات هيبة ورهبةمازلت أتذكر تلبية ابي اخيرا لطلبي لركوب القطار الذي كنت احب عندما ياخذني لمحطة مصر لرؤيته..وبمجرد ان تحرك ونحن علي متنه بدأ الهلع واصرخ وابكي واقول لا اريد ان أسافر -رغم ان المحطة التالية الي بعد 10 دقائق ولكن كيف لي ان اعرف وقتها-ولكن الرهبة الاكير مع الشعور بالاحتجاز من الجليد العاصفوقد جائت فكرة الرواية عندما حدث الأمر في قطار الشرق كانت تستقله اجاثا كريستي وقد احتجزته الامطار والسيول 24 ساعة كاملة مع ركاب مختلفين استلهمت منهم تلك الشخصيات في قطار روايتهاوزادت عليهم جثة ومراقب عربة قصير غامض وامرأة طويلة بالكيمونو الاحمر اكثر غموضا ☆☆☆☆☆وكما قلت للروايات البوليسية سحروتقريبا هذه الرواية في بناءها السردي كانت كلاسيكية وبسيطة، بلا أحداث واماكن كثيرة...بل 95% من الاحداث تدور في مكان واحد، القطار المحتجز، في غرفة الطعام أغلب الأحداث... بل وتدور في يوم وليلة تقريباومع ذلك حبكتها معقدة ورهيبة لا تصدر الا عن ملكة الجريمة والغموضيظهر جدا اجواء المعاصرة لوقت كتابة الرواية، 1934، الاختلافات السياسية في الثلاثينات، كذكر عصبة الامم، عداوة مستترة فجة بين الامريكان والانجليز المحافظين غالبا بسبب خلافات مابعد الحرب العظميوكذلك عمل الكثير من الاجانب ببغداد وحلب، سوريا والعراق، والكولونيل الانجليزي المقيم اغلب الوقت بالهندبل وأن تيمة اختطاف الاطفال الموجودة هنا مبنية علي حدث اختطاف طفل في 1932 وانتحار المربية برغم تبرئتها☆☆☆☆☆وأعود لما قلته من قبل، لاجاثا كريستي نفسها سحرفرغم الشعور انها رواية قديمة، او كلاسيكية البناء، حيث حتي يغلب علي اغلب الحوارات التي يقولها الشخصيات شئ من التطويل احيانارغم كل هذا فإنني ظللت مشدودا طوال الاحداث، لا تطويل غير مبرر ولاحشو...كل شئ في مكانهوالصفحات الاخيرة نجحت في رسم ابتسامة كبيرة علي وجهي، ظلت تتسع حتي كدت أن اضحك بصوت عالي في القطار -ترام الرمل- حتي اغلقت الرواية ونزلت المحطة ظلت تلك الابتسامة للنهاية العبقرية حقا والغير متوقعةفلتلك النهايات...سحرمحمد العربيفي قطار الشرق السريع لثلاث ليالي من 5 اكتوبر 2016الي 7 اكتوبر 2016",Mystery,"      Murder on the Orient Express
      
          (Hercule Poirot #10)"
2,Paulo Coelho,"Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams.",Fiction,      The Alchemist
3,George Orwell,"As ferociously fresh as it was more than a half century ago, this remarkable allegory of a downtrodden society of overworked, mistreated animals, and their quest to create a paradise of progress, justice, and equality is one of the most scathing satires ever published. As we witness the rise and bloody fall of the revolutionary animals, we begin to recognize the seeds of totalitarianism in the most idealistic organization; and in our most charismatic leaders, the souls of our cruelest oppressors.",Classics,      Animal Farm
4,Antoine de Saint-Exupéry,"Moral allegory and spiritual autobiography, The Little Prince is the most translated book in the French language. With a timeless charm it tells the story of a little boy who leaves the safety of his own tiny planet to travel the universe, learning the vagaries of adult behaviour through a series of extraordinary encounters. His personal odyssey culminates in a voyage to Earth and further adventures.",Childrens,      The Little Prince
5,George Orwell,"Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmare vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life--the ubiquity of television, the distortion of the language--and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written.",Classics,      1984
6,F. Scott Fitzgerald,"On its first publication in 1925, The Great Gatsby was largely dismissed as a light satire on Jazz Age follies. Today, it is acknowledged as a masterpiece: a love story, an exploration of the American dream and arguably the greatest American novel of the 20th century. Narrator Nick Carraway tells the story of his neighbour Jay Gatsby, whose parties at his Long Island mansion are as lavish as his past is mysterious. Yet Gatsby cares only for one of his guests: his lost love Daisy Buchanan, now married and living across the bay. In Fitzgerald’s hands, this deceptively simple story becomes a near-perfect work of art, told in hauntingly beautiful prose.Michael Dirda, a Pulitzer Prize-winning columnist for The Washington Post, has written a new introduction for this edition. He writes, ‘While a great novel should possess many qualities, the most essential is certainly the ability to enchant, to cast a spell over the reader’ – an ability possessed in full by ‘this ever-fresh, this ceaselessly magical novel’. Our edition also features a two-page note by the director and screenwriter Francis Ford Coppola recalling his work on the 1974 film adaptation, in particular his ingenious solution to the lack of dialogue between Daisy and Gatsby in the original novel. Sam Wolfe Connelly, a young artist based in New York, has created a series of colour illustrations and the striking binding design. The metallic endpapers and slipcase are printed with a 1920s-inspired design by the artist.",Classics,      The Great Gatsby
7,Albert Camus,"I don’t know what to do with these stars anymore. I give stars to books and then I think, ‘god, you give five stars to everything, people will think you are terribly undiscriminating’ – so then I give four stars or even three stars to some books. Then I look back and it turns out that that I’ve given four stars to Of Human Bondage and honestly, how could I possibly have thought it was a good idea to give that book less than five stars? It is the absurdity of human conventions that has us doing such things.Now, that is what is called a segue, from the Italian ‘seguire’ – to follow. For the last thirty years I have studiously avoided reading this book. I have done that because for the last thirty years I have known exactly what this book is about and there just didn’t seem any point in reading it. In high school friends (one of them even became my ex-wife) told me it was a great book about a man condemned to die because he was an outsider. Later I was told that this book was a story about something much like the Azaria Chamberlain case. A case where someone does not react in a way that is considered to be ‘socially appropriate’ and is therefore condemned.But after 30 years of avoiding reading this book I have finally relented and read it. At first I didn’t think I was going to enjoy it. It didn’t really get off to the raciest of starts and the character's voice – it is told in first person – was a bit dull. He is a man who lives entirely in the present, how terribly Buddhist of him – although, really there doesn’t seem to be all that much to him.My opinion of the book began to change at his mother’s funeral. I particularly liked the man who kept falling behind in the march to the cemetery and would take short cuts. Okay, so it is black humour, but Camus was more or less French – so black humour is more or less obligatory.I really hadn’t expected this book to be nearly so funny as it turned out. I’d always been told it was a ponderous philosophical text – and so, to be honest, I was expecting to be bored out of my skull. I wasn’t in the least bit bored.A constant theme in my life at present is that I read ‘classics’ expecting them to be about something and they end up being about something completely different. And given I’ve called this a ‘constant’ theme then you might think I would be less than surprised when a read a new ‘classic’ and it turns out to be completely different to my expectations. I’m a little more upset about this one than some of the others, as I’ve been told about this one before, repeatedly, and by people I’d have taken as ‘reputable sources’ – although, frankly, how well one should trust one’s ex-wife in such matters is moot.I had gotten the distinct impression from all of my previous discussions about this book that the guy ends up dead. In fact, this is not the case – he ends up at the point in his life where he has no idea if he will be freed or not. The Priest who comes to him at the end is actually quite certain that he will be freed. Let’s face it, he is only guilty of having murdered an Arab, and as we have daily evidence, Westerners can murder Arabs with complete impunity. The main point of the book to me is when he realises he is no longer ‘free’. He needs this explained to him – because life up until then had been about ‘getting used to things’ and one can 'get used to just about anything'. But the prison guard helpfully informs him that he is being ‘punished’ and the manifestation of that punishment is the removal of his ‘freedom’. Interestingly, he didn’t notice the difference between his past ‘free’ life and his current ‘unfree’ one. The most interesting part of the book to me was the very end, the conversation with the priest. The religious often make the mistake of thinking that Atheists are one thing – I’ve no idea how they ever came to make this mistake, but make it they do. Given that there are thousands upon thousands of different shades of Christians – from Jesuit Catholics to Anti-Disney Episcopalians – it should be fairly obvious that something like Atheism (without any ‘organised’ church or even system of beliefs) could not be in anyway ‘homogeneous’.I am definitely not the same kind of Atheist as Camus. To Camus there is no truth, the world is essentially absurd and all that exists is the relative truth an individual places on events and ideas. This makes the conversation with the priest fascinatingly interesting. To the priest the prisoner who is facing death is – by necessity – someone who is interested in God. You can play around with ideas like the non-existence of God when it doesn’t seem to matter (life is long and blasphemy can seem fun) – but surely when confronted with the stark truth of the human condition any man would turn away from their disbelief and see the shining light.Not this little black duck. Now, if I was in that cell I would have argued with the priest too – but I would not have argued in the same way that Meursault argues. No, I do not believe in God, but I do believe in truth, and so Camus’ arguments are barred to me.Meursault essentially says, “Look, I’m bored, I’m totally uninterested in the rubbish you are talking – now go away”. Now, this is a reasonable response. What is very interesting is that the priest cannot accept this as an answer. The world is not allowed to have such a person in it – if such a person really did exist then it would be a fundamental challenge to the core beliefs of the priest. So, he has to assume Meursault is either lying to him or is trying to taunt him. But it is much worse – he is absolutely sincere, he is not interested in this ‘truth’.I don’t know that the world is completely meaningless, it is conventional rather than meaningless. That those conventions are arbitrary (decided by the culture we grew up in) doesn’t make them meaningless, it makes them conventional. I don’t think I would like to live in a world where people go up and kill Arabs pretty much at random and with impunity, but then again, we have already established this is precisely the world I do live in. My point is that it would be better if we did adhere to some sort of moral principles and that these should be better principles than ‘he should be killed because he didn’t cry at his mum’s funeral’. Camus is seeking to say that all of our ‘moral principles’ in the end come to be as meaningless as that – we judge on the basis of what we see from the framework of our own limited experience. And look, yes, there is much to this – but this ends up being too easy.The thing I like most about Existentialism, though it isn’t really as evident in this book as it is in the actual philosophy – although this is something that Meursault is supposed to have grown to understand (sorry, just one more sub-clause) even though this wasn’t something I noticed at all while reading the book, was the notion of responsibility. I didn’t think in the end Meursault was all that much more ‘responsible’ for his actions than he had been at the start. But I do think that ‘responsibility’ is a key concept in morality and one that seems increasingly to be ignored.Better by far that we feel responsible for too much in our lives than too little – better by far that we take responsibility for the actions of our governments (say) than to call these governments ‘them’. I’m not advocating believing in The Secret - but that if one must err, better to err on the side of believing you have too much responsibility for how your life has turned out, rather than too little.So, what can I say? I enjoyed this much more than I expected – but I’m still glad I waited before reading it, I really don’t think I would have gotten nearly as much out of it at 15 as I did now.",Classics,      The Stranger
8,Franz Kafka,"""As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect. He was laying on his hard, as it were armor-plated, back and when he lifted his head a little he could see his domelike brown belly divided into stiff arched segments on top of which the bed quilt could hardly keep in position and was about to slide off completely. His numerous legs, which were pitifully thin compared to the rest of his bulk, waved helplessly before his eyes."" With this startling, bizarre, yet surprisingly funny first opening, Kafka begins his masterpiece, The Metamorphosis. It is the story of a young man who, transformed overnight into a giant beetle-like insect, becomes an object of disgrace to his family, an outsider in his own home, a quintessentially alienated man. A harrowing -- though absurdly comic -- meditation on human feelings of inadequacy, guilt, and isolation, The Metamorphosis has taken its place as one of the most widely read and influential works of twentieth-century fiction. As W.H. Auden wrote, ""Kafka is important to us because his predicament is the predicament of modern man.""",Classics,      The Metamorphosis
9,J.D. Salinger,"The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices-but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep. J.D. Salinger's classic novel of teenage angst and rebellion was first published in 1951. The novel was included on Time's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.",Classics,      The Catcher in the Rye
